agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
30V,03Z,threat,Male,Female,2014-07-07,LP,focalfollow,agonism.winner
2E8,03Z,threat,Female,Female,2014-07-28,LP,focalfollow,agonism.winner
22H,03Z,threat,Female,Female,2014-07-28,LP,focalfollow,agonism.winner
6B4,03Z,avoid,Female,Female,2014-07-08,LP,focalfollow,agonism.winner
76Z,03Z,displace,Male,Female,2014-08-11,LP,focalfollow,agonism.winner
30V,03Z,displace,Male,Female,2014-07-07,LP,focalfollow,agonism.winner
43N,03Z,feargrm,Male,Female,2014-07-21,LP,focalfollow,agonism.winner
94O,03Z,noncontactagg,Male,Female,2014-07-02,LP,focalfollow,agonism.winner
2D5,03Z,avoid,Male,Female,2014-09-12,LP,focalfollow,agonism.winner
3A9,03Z,displace,Female,Female,2014-09-18,LP,focalfollow,agonism.winner
43N,0B9,noncontactagg,Male,Female,2014-07-01,LP,focalfollow,agonism.winner
43N,0B9,submit,Male,Female,2014-07-01,LP,focalfollow,agonism.winner
94O,0B9,avoid,Male,Female,2014-07-15,LP,focalfollow,agonism.winner
8E2,0B9,avoid,Female,Female,2014-08-12,LP,focalfollow,agonism.winner
8E2,0B9,avoid,Female,Female,2014-08-12,LP,focalfollow,agonism.winner
0G3,0B9,displace,Female,Female,2014-06-24,LP,focalfollow,agonism.winner
21N,0B9,displace,Female,Female,2014-07-14,LP,focalfollow,agonism.winner
43N,0B9,avoid,Male,Female,2014-08-04,LP,focalfollow,agonism.winner
43N,0B9,noncontactagg,Male,Female,2014-08-04,LP,focalfollow,agonism.winner
77S,0G3,threat,Female,Female,2014-08-04,LP,focalfollow,agonism.winner
62S,0G3,contactagg,Female,Female,2014-07-29,LP,focalfollow,agonism.winner
5B6,0G3,avoid,Female,Female,2014-08-13,LP,focalfollow,agonism.winner
30V,0G3,displace,Male,Female,2014-09-22,LP,focalfollow,agonism.winner
36V,0G3,submit,Male,Female,2014-08-06,LP,focalfollow,agonism.winner
30V,0G3,displace,Male,Female,2014-07-23,LP,focalfollow,agonism.winner
30V,16S,feargrm,Male,Female,2014-09-12,LP,focalfollow,agonism.winner
2D5,16S,avoid,Male,Female,2014-09-12,LP,focalfollow,agonism.winner
4C6,20S,noncontactagg,Male,Female,2014-08-25,LP,focalfollow,agonism.winner
5B6,20S,contactagg,Female,Female,2014-08-13,LP,focalfollow,agonism.winner
77S,20S,displace,Female,Female,2014-07-08,LP,focalfollow,agonism.winner
0B9,20S,displace,Female,Female,2014-07-29,LP,focalfollow,agonism.winner
36V,21N,displace,Male,Female,2014-07-15,LP,focalfollow,agonism.winner
36V,21N,feargrm,Male,Female,2014-07-15,LP,focalfollow,agonism.winner
7E0,21N,noncontactagg,Female,Female,2014-07-14,LP,focalfollow,agonism.winner
5B6,21N,avoid,Female,Female,2014-08-13,LP,focalfollow,agonism.winner
30V,21N,avoid,Male,Female,2014-09-22,LP,focalfollow,agonism.winner
76Z,21N,submit,Male,Female,2014-09-10,LP,focalfollow,agonism.winner
94O,21N,avoid,Male,Female,2014-07-01,LP,focalfollow,agonism.winner
1B7,22H,displace,Male,Female,2014-08-12,LP,focalfollow,agonism.winner
4C6,22H,displace,Male,Female,2014-07-07,LP,focalfollow,agonism.winner
77S,2C0,noncontactagg,Female,Female,2014-09-03,LP,focalfollow,agonism.winner
1B7,2C0,noncontactagg,Male,Female,2014-08-12,LP,focalfollow,agonism.winner
94O,2C0,submit,Male,Female,2014-07-02,LP,focalfollow,agonism.winner
5B6,2C7,avoid,Female,Female,2014-09-11,LP,focalfollow,agonism.winner
62S,2C7,feargrm,Female,Female,2014-07-01,LP,focalfollow,agonism.winner
7E0,2C7,displace,Female,Female,2014-07-14,LP,focalfollow,agonism.winner
55R,2C7,submit,Female,Female,2014-08-13,LP,focalfollow,agonism.winner
V80,2C7,avoid,Female,Female,2014-07-10,LP,focalfollow,agonism.winner
30V,2C7,avoid,Male,Female,2014-06-30,LP,focalfollow,agonism.winner
3A9,2C7,avoid,Female,Female,2014-08-11,LP,focalfollow,agonism.winner
62S,2C7,displace,Female,Female,2014-09-17,LP,focalfollow,agonism.winner
1B7,2E8,threat,Male,Female,2014-08-04,LP,focalfollow,agonism.winner
22H,2E8,contactagg,Female,Female,2014-07-29,LP,focalfollow,agonism.winner
43N,2E8,feargrm,Male,Female,2014-06-25,LP,focalfollow,agonism.winner
0B9,2E8,displace,Female,Female,2014-07-28,LP,focalfollow,agonism.winner
43N,2E8,avoid,Male,Female,2014-08-04,LP,focalfollow,agonism.winner
20S,2E8,avoid,Female,Female,2014-07-08,LP,focalfollow,agonism.winner
1B7,2E8,avoid,Male,Female,2014-08-04,LP,focalfollow,agonism.winner
2D5,2E9,displace,Male,Female,2014-07-09,LP,focalfollow,agonism.winner
55R,2E9,displace,Female,Female,2014-08-05,LP,focalfollow,agonism.winner
6B4,2E9,displace,Female,Female,2014-09-02,LP,focalfollow,agonism.winner
2D5,2E9,avoid,Male,Female,2014-07-23,LP,focalfollow,agonism.winner
8E2,2E9,avoid,Female,Female,2014-08-12,LP,focalfollow,agonism.winner
80S,2E9,displace,Female,Female,2014-07-21,LP,focalfollow,agonism.winner
2C0,2E9,displace,Female,Female,2014-08-19,LP,focalfollow,agonism.winner
56R,2E9,contactagg,Female,Female,2014-07-07,LP,focalfollow,agonism.winner
65Z,2F8,contactagg,Female,Male,2014-07-03,LP,overtime,agonism.winner
1B7,30V,threat,Male,Male,2014-08-04,LP,focalfollow,agonism.winner
2D5,30V,threat,Male,Male,2014-07-28,LP,focalfollow,agonism.winner
94O,30V,displace,Male,Male,2014-07-03,LP,focalfollow,agonism.winner
2D5,30V,avoid,Male,Male,2014-09-18,LP,focalfollow,agonism.winner
50P,30V,noncontactagg,Male,Male,2014-09-12,LP,focalfollow,agonism.winner
8E2,36O,threat,Female,Female,2014-09-16,LP,focalfollow,agonism.winner
55R,36O,contactagg,Female,Female,2014-08-13,LP,focalfollow,agonism.winner
55R,36O,displace,Female,Female,2014-08-13,LP,focalfollow,agonism.winner
20S,36O,avoid,Female,Female,2014-07-15,LP,focalfollow,agonism.winner
20S,36O,displace,Female,Female,2014-07-15,LP,focalfollow,agonism.winner
4C6,36O,avoid,Male,Female,2014-08-19,LP,focalfollow,agonism.winner
3A9,36O,displace,Female,Female,2014-09-16,LP,focalfollow,agonism.winner
94O,36O,displace,Male,Female,2014-07-02,LP,overtime,agonism.winner
03Z,36O,noncontactagg,Female,Female,2014-08-13,LP,focalfollow,agonism.winner
55R,36O,contactagg,Female,Female,2014-06-24,LP,focalfollow,agonism.winner
20S,36O,contactagg,Female,Female,2014-09-17,LP,focalfollow,agonism.winner
62S,36O,displace,Female,Female,2014-09-15,LP,focalfollow,agonism.winner
30V,36V,noncontactagg,Male,Male,2014-07-02,LP,focalfollow,agonism.winner
43N,36V,avoid,Male,Male,2014-08-13,LP,focalfollow,agonism.winner
43N,36V,displace,Male,Male,2014-08-13,LP,focalfollow,agonism.winner
2C0,39Z,submit,Female,Female,2014-07-14,LP,focalfollow,agonism.winner
2D5,39Z,avoid,Male,Female,2014-07-03,LP,focalfollow,agonism.winner
