groom_giver,groom_reciever,constrained_duration,observation_name
5J1,7G1,284,2016-08-02_5J1_DP_4
85T,1G4,59,2016-08-02_85T_DP_6
8D8,51Z,105,2016-08-02_8D8_DP_6
33T,81O,96,2016-08-09_33T_DP_4
1K1,0K0,32,2016-08-10_1K1_DP_4
85T,1G4,74,2016-08-10_85T_DP_4
85T,1G4,194,2016-08-10_85T_DP_4
90T,93T,29,2016-08-11_90T_DP_5
3J7,47Z,96,2016-08-15_3J7_DP_6
0K0,1K1,94,2016-08-16_0K0_DP_6
0K0,53Z,169,2016-08-16_0K0_DP_6
61R,14E,27,2016-08-16_61R_DP_5
19T,5E6,598,2016-08-17_19T_DP_5
90T,4J4,155,2016-08-18_90T_DP_3
3I9,19T,287,2016-08-19_3I9_DP_6
4E2,3D9,39,2016-08-19_4E2_DP_4
5C6,0F0,71,2016-08-19_5C6_DP_4
5E6,45Z,525,2016-08-19_5E6_DP_6
4J4,90T,165,2016-08-22_4J4_DP_5
7A2,51J,161,2016-08-22_7A2_DP_4
7A2,51J,42,2016-08-22_7A2_DP_4
7F5,1B0,46,2016-08-22_7F5_DP_5
7F5,1B0,205,2016-08-22_7F5_DP_5
1I5,00V,156,2016-08-29_1I5_DP_3
1I5,00V,372,2016-08-29_1I5_DP_3
2G2,1I7,52,2016-08-29_2G2_DP_6
1G4,53Z,40,2016-08-31_1G4_DP_1
85T,1G4,242,2016-08-31_85T_DP_4
3H0,1G1,60,2016-09-01_3H0_DP_5
93T,00V,114,2016-09-01_93T_DP_2
2G3,32Z,193,2016-09-06_2G3_DP_5
T03,3D9,37,2016-09-06_T03_DP_1
0F0,51A,405,2016-09-08_0F0_DP_4
2G4,00V,115,2016-09-08_2G4_DP_1
5E6,45Z,355,2016-09-12_5E6_DP_5
90T,2G2,242,2016-09-12_90T_DP_6
90T,2G2,196,2016-09-12_90T_DP_6
85T,1G4,20,2016-09-14_85T_DP_6
7F5,7A2,138,2016-09-19_7F5_DP_2
1G6,52Z,46,2016-09-21_1G6_DP_2
3I9,19T,205,2016-09-21_3I9_DP_5
7C4,2E4,156,2016-09-21_7C4_DP_5
1I5,1G0,325,2016-09-23_1I5_DP_4
9E3,7G1,93,2016-10-05_9E3_DP_5
15E,13H,84,2016-10-06_15E_DP_5
1K2,1B0,56,2016-10-06_1K2_DP_6
1K2,3H0,64,2016-10-06_1K2_DP_6
1K2,4C9,116,2016-10-06_1K2_DP_6
1K2,4C9,6,2016-10-06_1K2_DP_6
5C6,9C1,51,2016-10-06_5C6_DP_6
7C4,12E,42,2016-10-07_7C4_DP_5
98J,5E6,472,2016-10-10_98J_DP_6
0F0,14E,190,2016-02-08_14E_DP_5
9E8,14E,104,2016-02-08_14E_DP_5
1K1,0K0,41,2016-02-09_0K0_DP_6
00V,18I,44,2016-02-09_18I_DP_1
33T,1G6,54,2016-02-10_1G6_DP_4
98J,1G4,301,2016-02-15_1G4_DP_3
52Z,2I3,102,2016-02-16_2I3_DP_6
5C6,51A,158,2016-02-16_51A_DP_3
85T,98J,42,2016-02-17_98J_DP_5
18I,1G1,80,2016-02-18_1G1_DP_3
52Z,2I3,300,2016-02-22_2I3_DP_3
2G2,8D8,150,2016-02-24_8D8_DP_5
33T,1G1,28,2016-02-25_1G1_DP_1
1I7,0J4,362,2016-02-29_0J4_DP_3
0K0,4J4,117,2016-03-10_4J4_DP_6
