id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
0C6,F,2005,11,42L,01K,42L,F,79,L,1.25,36,0.8333333333333334,N
87K,F,1998,18,J91,H87,J91,F,80,L,0,8711,1,N
07D,M,1995,21,L19,K85,L19,R,1,H,100,704,6.5,Y
0B8,M,2004,12,28A,48G,28A,R,2,H,96,28,4,Y
43P,M,2001,15,H74,K32,H74,F,3,H,94,4316,6.333333333333333,Y
9D1,M,2006,10,82L,08N,82L,F,4,H,92,9042,6.5,Y
96B,M,1994,22,D07,E05,D07,R,5,H,90,9602,6.333333333333333,Y
6I9,M,2009,7,43J,22R,43J,F,6,H,88,6109,4.5,Y
2I4,M,2009,7,62V,91S,62V,F,7,H,86,2094,3,Y
1J8,M,2009,7,82A,02R,82A,F,8,H,84,1108,6.166666666666667,Y
8C0,M,2006,10,93O,94H,37D,KK,9,H,82,8030,6.5,Y
2J6,M,2009,7,44J,25L,44J,F,10,H,80,2106,6.5,Y
9E5,M,2007,9,16S,02R,16S,HH,11,M,78,9055,6.666666666666667,Y
12Z,M,2003,13,G43,40C,G43,HH,12,M,76,1226,6.666666666666667,Y
5G3,M,2008,8,34Z,93R,34Z,HH,13,M,74,5073,6.666666666666667,Y
7I5,M,2009,7,54B,21P,54B,R,14,M,72,7095,6.5,Y
9H2,M,2008,8,58N,56K,58N,KK,15,M,70,9082,6.666666666666667,Y
1J0,M,2009,7,7A6,11Z,7A6,R,16,M,68,1230**,6.833333333333333,Y
9F5,M,2007,9,88N,94O,88N,S,17,M,66,9065,6.333333333333333,Y
42T,M,2002,14,K28,L83,K28,R,18,M,64,4220,6.5,Y
8C2,M,2006,10,61K,25I,61K,R,19,M,62,8032,6.5,Y
2J4,M,2010,6,17C,07D,17C,F,20,M,60,2104,6.666666666666667,Y
3E1,M,2006,10,90S,08O,90S,HH,21,M,58,3051,6.5,Y
7E1,M,2007,9,12T,68N,12T,HH,22,M,56,7051,2,Y
0H3,M,2008,8,11N,27N,11N,KK,24,M,52,83,6.333333333333333,Y
30L,M,2000,16,L66,Z00,L66,V,25,M,50,3012,6.333333333333333,Y
30V,M,2003,13,70K,25I,70K,R,26,L,48,3022,5.5,Y
18Z,M,2004,12,NA,51A,T98,V,27,L,46,1826,5.5,Y
3E4,M,2006,10,30D,50G,30D,R,28,L,44,3054,6.5,Y
0G9,M,2008,8,98J,60L,98J,V,29,L,42,79,5,Y
1J2,M,2009,7,37D,60T,37D,KK,30,L,40,1102,6.5,Y
5J5,M,2010,6,V72,02R,V72,HH,31,L,38,5095,4.333333333333333,Y
2I0,M,2009,7,30J,98K,30J,V,32,L,36,2100,5.666666666666667,Y
91O,M,2000,16,V60,77A,V60,R,33,L,34,9115,6.5,Y
5J4,M,2009,7,Z08,02F,Z08,F,34,L,32,5104,5,Y
6J2,M,2009,7,35N,08O,35N,F,35,L,30,6092,3,Y
6I7,M,2009,7,50S,92S,50S,F,36,L,28,6107,3,Y
5G7,M,2008,8,25P,94O,25P,KK,37,L,26,5077,4.833333333333333,Y
8H0,M,2008,8,21C,43H,21C,HH,38,L,24,8080,3.8333333333333335,Y
5E4,M,2007,9,98J,72O,98J,V,39,L,22,5054,1.8333333333333333,Y
1G9,M,2008,8,15E,30S,15E,V,40,L,20,1079,5.333333333333333,Y
6C9,M,2006,10,Z08,65F,Z08,F,41,L,18,6039,5.5,Y
