id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
8B5,M,2005,10,32G,61B,32G,V,16,M,52.94117647,8025,4,Y
7B2,M,2005,10,67F,21B,67F,V,17,M,50,7022,2.8333333333333335,Y
88T,M,2003,12,81E,84G,81E,V,18,L,47.05882353,8820,3,Y
7B3,M,2005,10,81E,12E,81E,V,19,L,44.11764706,7023,4,Y
31S,M,2001,14,03H,79B,03H,R,20,L,41.17647059,3119,4,Y
46N,M,1999,16,T83,85A,T83,S,21,L,38.23529412,4614,3.8333333333333335,Y
25L,M,2000,15,13B,Z00,13B,V,22,L,35.29411765,2512,4,Y
60E,M,1996,19,N12,H90,N12,F,23,L,32.35294118,6005,2,N
0G8,M,2007,8,55H,02F,55H,F,24,L,29.41176471,78,3.8333333333333335,Y
8D6,M,2006,9,68J,53N,68J,F,25,L,26.47058824,8046,4,Y
10R,M,2001,14,R75,NA,R75,KK,26,L,23.52941176,1018,4.166666666666667,Y
0E8,M,2006,9,V36,64K,V36,F,27,L,20.58823529,58,3.8333333333333335,Y
1E5,M,2006,9,50I,07D,50I,F,28,L,17.64705882,1055,2,N
17L,M,1999,16,B10,X58,B10,BB,29,L,14.70588235,1712,1,N
1D5,M,2006,9,04O,09K,04O,F,30,L,11.76470588,1045,3.8333333333333335,Y
43V,M,2003,12,X20,40C,X20,HH,31,L,8.823529412,4322,1,N
44T,M,2002,13,95A,88C,95A,R,32,L,5.882352941,4420,3,Y
5G2,M,2008,7,60P,L83,60P,F,33,L,2.941176471,5072,2,N
9E7,M,2008,7,00V,17K,00V,V,34,L,0,NA,2,N
