date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2014-04-07,2014-04-07_77S_EL_3,2,77S,77S,feedchow,NA,2014-04-07T10:01:30Z
2014-04-07,2014-04-07_77S_EL_3,3,77S,77S,feedchow,NA,2014-04-07T10:06:29Z
2014-04-07,2014-04-07_7E0_EL_6,1,7E0,7E0,rest,NA,2014-04-07T13:01:15Z
2014-04-07,2014-04-07_7E0_EL_6,2,7E0,7E0,rest,NA,2014-04-07T13:06:14Z
2014-04-07,2014-04-07_7E0_EL_6,3,7E0,7E0,travel,NA,2014-04-07T13:11:14Z
2014-04-07,2014-04-07_80S_EL_2,1,80S,80S,rest,NA,2014-04-07T09:22:45Z
2014-04-07,2014-04-07_80S_EL_2,2,80S,80S,rest,NA,2014-04-07T09:27:46Z
2014-04-07,2014-04-07_80S_EL_2,3,80S,80S,rest,NA,2014-04-07T09:32:48Z
2014-04-07,2014-04-07_8E2_EL_1,1,8E2,8E2,social,NA,2014-04-07T07:46:53Z
2014-04-07,2014-04-07_8E2_EL_1,2,8E2,8E2,travel,NA,2014-04-07T07:52:22Z
2014-04-07,2014-04-07_8E2_EL_1,3,8E2,8E2,rest,NA,2014-04-07T07:56:56Z
2014-04-07,2014-04-07_94O_EL_4,1,94O,94O,rest,NA,2014-04-07T11:27:14Z
2014-04-07,2014-04-07_94O_EL_4,2,94O,94O,travel,NA,2014-04-07T11:32:15Z
2014-04-07,2014-04-07_94O_EL_4,3,94O,"94O, 5B4",feedplant,feedplant,2014-04-07T11:37:14Z
2014-04-07,2014-04-07_97V_EL_5,1,97V,97V,rest,NA,2014-04-07T12:04:27Z
2014-04-07,2014-04-07_97V_EL_5,2,97V,97V,feedplant,NA,2014-04-07T12:09:29Z
2014-04-07,2014-04-07_97V_EL_5,3,97V,97V,travel,NA,2014-04-07T12:14:28Z
2014-04-07,2014-04-07_V80_EL_4,1,V80,V80,travel,NA,2014-04-07T11:15:00Z
2014-04-07,2014-04-07_V80_EL_4,2,V80,V80,feedwater,NA,2014-04-07T11:19:58Z
2014-04-07,2014-04-07_V80_EL_4,3,V80,V80,feedplant,NA,2014-04-07T11:24:58Z
2014-04-08,2014-04-08_03Z_EL_5,1,03Z,03Z,rest,NA,2014-04-08T12:17:40Z
2014-04-08,2014-04-08_03Z_EL_5,2,03Z,03Z,rest,NA,2014-04-08T12:22:39Z
2014-04-08,2014-04-08_03Z_EL_5,3,03Z,03Z,rest,NA,2014-04-08T12:27:39Z
2014-04-08,2014-04-08_0B9_EL_5,1,0B9,0B9,feedwater,NA,2014-04-08T12:01:54Z
2014-04-08,2014-04-08_0B9_EL_5,2,0B9,0B9,feedplant,NA,2014-04-08T12:06:51Z
2014-04-08,2014-04-08_0B9_EL_5,3,0B9,0B9,feedplant,NA,2014-04-08T12:11:52Z
2014-04-08,2014-04-08_20S_EL_3,1,20S,20S,rest,NA,2014-04-08T10:20:59Z
2014-04-08,2014-04-08_20S_EL_3,2,20S,20S,feedplant,NA,2014-04-08T10:26:07Z
2014-04-08,2014-04-08_20S_EL_3,3,20S,20S,travel,NA,2014-04-08T10:31:00Z
2014-04-08,2014-04-08_21N_EL_6,1,21N,21N,rest,NA,2014-04-08T13:11:39Z
2014-04-08,2014-04-08_21N_EL_6,2,21N,21N,rest,NA,2014-04-08T13:16:42Z
2014-04-08,2014-04-08_21N_EL_6,3,21N,"21N, 39Z, 20S",rest,"rest, rest",2014-04-08T13:21:39Z
2014-04-08,2014-04-08_2C0_EL_6,1,2C0,2C0,rest,NA,2014-04-08T13:24:01Z
2014-04-08,2014-04-08_2C0_EL_6,2,2C0,2C0,social,NA,2014-04-08T13:29:13Z
2014-04-08,2014-04-08_2C0_EL_6,3,2C0,2C0,rest,NA,2014-04-08T13:34:01Z
2014-04-08,2014-04-08_2C7_EL_3,1,2C7,2C7,rest,NA,2014-04-08T10:08:53Z
2014-04-08,2014-04-08_2C7_EL_3,2,2C7,2C7,rest,NA,2014-04-08T10:13:52Z
2014-04-08,2014-04-08_2C7_EL_3,3,2C7,2C7,travel,NA,2014-04-08T10:18:54Z
2014-04-08,2014-04-08_2D5_EL_2,1,2D5,2D5,travel,NA,2014-04-08T09:27:42Z
2014-04-08,2014-04-08_2D5_EL_2,2,2D5,2D5,feedplant,NA,2014-04-08T09:32:40Z
2014-04-08,2014-04-08_2D5_EL_2,3,2D5,2D5,travel,NA,2014-04-08T09:37:39Z
2014-04-08,2014-04-08_2E8_EL_4,1,2E8,2E8,feedplant,NA,2014-04-08T11:16:44Z
2014-04-08,2014-04-08_2E8_EL_4,2,2E8,2E8,feedplant,NA,2014-04-08T11:21:42Z
2014-04-08,2014-04-08_2E8_EL_4,3,2E8,2E8,travel,NA,2014-04-08T11:26:41Z
2014-04-08,2014-04-08_30V_EL_3,1,30V,30V,rest,NA,2014-04-08T09:43:01Z
2014-04-08,2014-04-08_30V_EL_3,2,30V,30V,rest,NA,2014-04-08T09:48:01Z
2014-04-08,2014-04-08_30V_EL_3,3,30V,30V,feedwater,NA,2014-04-08T09:53:02Z
2014-04-08,2014-04-08_36O_EL_1,1,36O,36O,travel,NA,2014-04-08T08:06:31Z
2014-04-08,2014-04-08_36O_EL_1,2,36O,36O,rest,NA,2014-04-08T08:11:29Z
2014-04-08,2014-04-08_36O_EL_1,3,36O,36O,rest,NA,2014-04-08T08:16:30Z
2014-04-08,2014-04-08_36V_EL_4,1,36V,36V,social,NA,2014-04-08T11:48:04Z
2014-04-08,2014-04-08_36V_EL_4,2,36V,36V,social,NA,2014-04-08T11:53:05Z
2014-04-08,2014-04-08_36V_EL_4,3,36V,36V,social,NA,2014-04-08T11:58:23Z
2014-04-08,2014-04-08_3A9_EL_3,1,3A9,"3A9, 94O",rest,rest,2014-04-08T09:55:18Z
