groom_giver,groom_reciever,constrained_duration,observation_name
27N,62R,90,2017-06-14_27N_JN_1
2F2,juvenile female,104,2017-06-05_2F2_JN_4
2J7,25P,87,2017-08-22_2J7_JN_4
7F0,49V,105,2017-08-10_7F0_JN_1
6M7,44V,106,2017-07-03_6M7_JN_4
5Q7,60R,107,2017-05-23_5Q7_JN_1
9N6,62R,108,2017-06-15_9N6_JN_4
1R7,juvenile female,108,2017-07-06_1R7_JN_1
9H9,juvenile male,109,2017-06-22_9H9_JN_4
3F5,76J,110,2017-08-11_3F5_JN_1
83Z,6C2,109,2017-08-15_83Z_JN_4
6M7,juvenile female,111,2017-07-06_6M7_JN_1
8C9,juvenile male,111,2017-08-30_8C9_JN_4
0Q5,juvenile male,98,2017-05-24_0Q5_JN_4
9I8,juvenile female,112,2017-05-24_9I8_JN_4
9H9,juvenile male,112,2017-06-22_9H9_JN_4
6C2,juvenile male,97,2017-06-27_6C2_JN_4
6D4,juvenile female,101,2017-07-20_6D4_JN_4
93O,6D4,113,2017-08-09_93O_JN_1
4P6,44V,115,2017-05-25_4P6_JN_4
24V,8L3,116,2017-08-09_24V_JN_4
9I8,juvenile male,117,2017-06-05_9I8_JN_4
1E2,juvenile female,102,2017-07-28_1E2_JN_4
3O7,8L3,109,2017-05-16_3O7_JN_4
37V,3G3,125,2017-08-30_37V_JN_4
4R4,8C9,128,2017-05-08_4R4_JN_4
24V,8L3,117,2017-07-25_24V_JN_1
7O3,24V,133,2017-06-15_7O3_JN_4
4P6,44V,107,2017-05-11_4P6_JN_4
5H4,4F1,134,2017-08-31_5H4_JN_4
3F5,2C4,135,2017-07-20_3F5_JN_4
5H4,83Z,135,2017-07-20_5H4_JN_4
7F0,juvenile male,125,2017-05-08_7F0_JN_1
2F2,juvenile female,137,2017-08-10_2F2_JN_4
6C2,46Z,126,2017-05-30_6C2_JN_1
51J,juvenile female,120,2017-08-30_51J_JN_4
7I8,76J,115,2017-07-17_7I8_JN_4
4M9,6A9,141,2017-05-23_4M9_JN_1
9H9,juvenile male,129,2017-06-05_9H9_JN_4
27N,76J,131,2017-08-15_27N_JN_1
24V,juvenile female,135,2017-08-16_24V_JN_1
27J,1E2,145,2017-07-17_27J_JN_1
7Q3,juvenile male,146,2017-06-07_7Q3_JN_4
7I8,juvenile male,138,2017-06-13_7I8_JN_4
2F2,juvenile male,150,2017-06-12_2F2_JN_4
1L1,1C5,153,2017-08-31_1L1_JN_4
4P6,44V,153,2017-05-11_4P6_JN_4
2J7,27N,131,2017-05-22_2J7_JN_4
4R4,juvenile female,154,2017-08-07_4R4_JN_1
7J7,juvenile male,155,2017-06-05_7J7_JN_1
56K,55J,157,2017-06-27_56K_JN_4
37V,98Z,145,2017-07-03_37V_JN_1
6L1,juvenile male,163,2017-06-13_6L1_JN_4
2C3,juvenile female,155,2017-06-06_2C3_JN_4
7F0,93O,167,2017-06-07_7F0_JN_4
6D9,juvenile male,167,2017-06-13_6D9_JN_4
1M8,98Z,157,2017-07-06_1M8_JN_4
9N6,62R,156,2017-06-15_9N6_JN_4
62R,2J7,169,2017-06-23_62R_JN_4
9I8,juvenile female,160,2017-08-21_9I8_JN_4
4R7,3G3,162,2017-05-31_4R7_JN_4
3M3,4F1,159,2017-06-07_3M3_JN_4
1R1,6D6,174,2017-05-12_1R1_JN_4
9L9,49V,175,2017-06-13_9L9_JN_4
3F7,juvenile male,164,2017-06-22_3F7_JN_1
8L3,7J7,147,2017-07-17_8L3_JN_4
3F5,6D6,182,2017-07-05_3F5_JN_4
8C9,juvenile female,182,2017-06-14_8C9_JN_4
7F0,76J,184,2017-07-31_7F0_JN_1
9Q5,3F7,168,2017-06-15_9Q5_JN_4
11Z,juvenile female,188,2017-06-14_11Z_JN_4
3F7,juvenile female,178,2017-08-30_3F7_JN_4
46Z,86Z,192,2017-08-15_46Z_JN_1
1E2,juvenile female,195,2017-06-05_1E2_JN_1
8O9,8L3,179,2017-07-28_8O9_JN_4
6A9,49V,198,2017-06-12_6A9_JN_4
86Z,juvenile female,201,2017-06-06_86Z_JN_4
1S8,juvenile male,202,2017-05-15_1S8_JN_4
0Q5,juvenile female,207,2017-05-30_0Q5_JN_1
5Q7,juvenile female,208,2017-05-12_5Q7_JN_1
1P4,16R,191,2017-05-24_1P4_JN_4
1S8,2C3,209,2017-05-10_1S8_JN_1
8O9,2J7,209,2017-05-16_8O9_JN_4
4F1,juvenile,200,2017-07-20_4F1_JN_4
5H4,4D8,206,2017-07-18_5H4_JN_4
0M6,99L,208,2017-05-08_0M6_JN_4
2R0,juvenile male,207,2017-06-23_2R0_JN_4
6D4,73Z,203,2017-06-05_6D4_JN_4
49V,9L9,221,2017-05-12_49V_JN_4
4D8,juvenile,205,2017-05-31_4D8_JN_4
8I9,27N,217,2017-08-16_8I9_JN_4
7Q3,juvenile male,209,2017-05-22_7Q3_JN_4
27J,1E2,215,2017-06-27_27J_JN_4
1R1,juvenile male,234,2017-05-22_1R1_JN_1
44V,37V,226,2017-06-13_44V_JN_4
4R3,juvenile male,224,2017-07-28_4R3_JN_1
7F0,juvenile male,225,2017-06-19_7F0_JN_4
4P6,juvenile male,247,2017-06-23_4P6_JN_4
3O7,juvenile female,247,2017-05-24_3O7_JN_1
8I9,83Z,235,2017-08-22_8I9_JN_4
4R3,juvenile male,261,2017-05-11_4R3_JN_1
5H4,juvenile male,251,2017-06-05_5H4_JN_4
0J5,2C4,257,2017-08-21_0J5_JN_4
27J,6D6,254,2017-06-05_27J_JN_4
6C2,juvenile male,276,2017-07-20_6C2_JN_1
5H4,6D9,280,2017-06-23_5H4_JN_4
25P,juvenile female,280,2017-05-30_25P_JN_1
3O7,juvenile male,277,2017-08-03_3O7_JN_4
1O9,0K8,291,2017-07-28_1O9_JN_4
5Q7,99L,291,2017-08-07_5Q7_JN_1
11Z,juvenile male,274,2017-05-24_11Z_JN_4
51V,juvenile male,298,2017-05-15_51V_JN_1
60R,juvenile male,299,2017-05-25_60R_JN_1
6A9,6D4,298,2017-05-24_6A9_JN_4
3Q9,juvenile male,297,2017-07-17_3Q9_JN_4
5H4,juvenile male,297,2017-05-25_5H4_JN_1
1C7,98Z,299,2017-06-01_1C7_JN_4
64S,juvenile male,298,2017-06-22_64S_JN_4
2J7,62R,300,2017-06-06_2J7_JN_4
51V,juvenile male,299,2017-06-01_51V_JN_4
76J,62R,299,2017-07-05_76J_JN_4
51J,86Z,299,2017-05-24_51J_JN_4
5Q7,juvenile male,299,2017-06-09_5Q7_JN_1
8L3,juvenile male,300,2017-06-19_8L3_JN_4
4P6,3G3,300,2017-05-23_4P6_JN_1
1L1,juvenile female,299,2017-06-07_1L1_JN_1
51J,juvenile female,299,2017-05-09_51J_JN_4
44V,3G3,299,2017-06-27_44V_JN_4
1O7,51J,298,2017-05-09_1O7_JN_1
37V,6L1,299,2017-05-23_37V_JN_1
1C5,2C3,299,2017-05-08_1C5_JN_4
2R9,6C2,299,2017-05-31_2R9_JN_4
51V,8L3,298,2017-08-28_51V_JN_4
64S,73Z,300,2017-08-16_64S_JN_1
4Q4,27N,299,2017-05-12_4Q4_JN_4
1S5,juvenile male,298,2017-07-03_1S5_JN_4
51V,juvenile male,299,2017-05-11_51V_JN_4
2C3,juvenile female,300,2017-07-31_2C3_JN_4
2J7,5H4,299,2017-07-17_2J7_JN_4
1E2,juvenile female,299,2017-08-31_1E2_JN_4
98Z,37V,299,2017-06-26_98Z_JN_1
1P4,8L3,299,2017-07-06_1P4_JN_4
11Z,98Z,298,2017-08-21_11Z_JN_4
8L3,juvenile male,299,2017-07-20_8L3_JN_4
0K8,juvenile male,298,2017-06-26_0K8_JN_4
juvenile female,83Z,2,2017-08-22_83Z_JN_1
24V,3R0,3,2017-08-07_3R0_JN_4
juvenile female,51J,14,2017-08-30_51J_JN_4
4D8,5H4,15,2017-08-09_5H4_JN_1
juvenile female,8L3,15,2017-08-10_8L3_JN_4
juvenile male,7O3,7,2017-08-15_7O3_JN_4
juvenile male,2R0,17,2017-07-06_2R0_JN_1
44V,4P6,19,2017-05-25_4P6_JN_4
juvenile female,0J5,21,2017-07-20_0J5_JN_4
juvenile male,3O7,22,2017-08-03_3O7_JN_4
juvenile male,1M8,22,2017-08-10_1M8_JN_4
27J,4F1,23,2017-06-06_4F1_JN_4
25P,3R9,23,2017-06-01_3R9_JN_4
76J,24V,12,2017-05-08_24V_JN_4
83Z,1O9,25,2017-08-30_1O9_JN_1
juvenile male,1S5,25,2017-08-30_1S5_JN_1
9I8,4Q4,14,2017-06-14_4Q4_JN_4
juvenile female,97Z,9,2017-05-22_97Z_JN_4
9I8,4Q4,30,2017-05-22_4Q4_JN_1
8C9,4R4,30,2017-05-08_4R4_JN_4
2C3,1S8,29,2017-05-22_1S8_JN_1
86Z,0K8,31,2017-07-18_0K8_JN_1
juvenile male,1M8,31,2017-08-10_1M8_JN_4
juvenile male,9H9,32,2017-06-26_9H9_JN_4
8L3,7I8,33,2017-07-17_7I8_JN_4
6D9,1L1,33,2017-08-09_1L1_JN_4
60R,0R2,34,2017-07-06_0R2_JN_4
juvenile male,97Z,34,2017-05-08_97Z_JN_1
9L9,49V,35,2017-08-08_49V_JN_4
juvenile female,6D4,35,2017-07-20_6D4_JN_4
1E2,1P4,36,2017-05-31_1P4_JN_1
juvenile male,4R3,37,2017-05-11_4R3_JN_1
