date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2010-07-28,2010-07-28_88I_JB_2,1,88I,99V,NA,NA,2010-07-28T08:27:48Z
2010-07-28,2010-07-28_88I_JB_2,2,88I,88I,NA,NA,2010-07-28T08:32:56Z
2010-07-28,2010-07-28_88I_JB_2,3,88I,44J,NA,NA,2010-07-28T08:37:53Z
2010-07-28,2010-07-28_98T_JB_4,1,98T,N12,NA,NA,2010-07-28T11:03:45Z
2010-07-28,2010-07-28_98T_JB_4,2,98T,N12,NA,NA,2010-07-28T11:08:42Z
2010-07-28,2010-07-28_R65_JB_2,1,R65,R65,NA,NA,2010-07-28T09:09:52Z
2010-07-28,2010-07-28_R65_JB_2,2,R65,R65,NA,NA,2010-07-28T09:15:59Z
2010-07-28,2010-07-28_R65_JB_2,3,R65,R65,NA,NA,2010-07-28T09:19:50Z
2010-07-28,2010-07-28_X44_JB_1,1,X44,X44,NA,NA,2010-07-28T07:33:34Z
2010-07-28,2010-07-28_X44_JB_1,2,X44,X44,NA,NA,2010-07-28T07:39:02Z
2010-07-28,2010-07-28_X44_JB_1,3,X44,X44,NA,NA,2010-07-28T07:43:32Z
2010-07-28,2010-07-28_Z14_JB_3,1,Z14,Z14,NA,NA,2010-07-28T10:09:51Z
2010-07-28,2010-07-28_Z14_JB_3,2,Z14,Z14,NA,NA,2010-07-28T10:14:58Z
2010-07-28,2010-07-28_Z14_JB_3,3,Z14,Z14,NA,NA,2010-07-28T10:19:43Z
2010-07-29,2010-07-29_00J_JB_1,1,00J,00J,NA,NA,2010-07-29T08:18:07Z
2010-07-29,2010-07-29_00J_JB_1,2,00J,00J,NA,NA,2010-07-29T08:23:05Z
2010-07-29,2010-07-29_00J_JB_1,3,00J,unknown,NA,NA,2010-07-29T08:28:43Z
2010-07-29,2010-07-29_07D_JB_2,1,07D,07D,NA,NA,2010-07-29T09:03:24Z
2010-07-29,2010-07-29_07D_JB_2,2,07D,07D,NA,NA,2010-07-29T09:08:24Z
2010-07-29,2010-07-29_07D_JB_2,3,07D,07D,NA,NA,2010-07-29T09:13:18Z
2010-07-29,2010-07-29_25L_JB_5,1,25L,X44,NA,NA,2010-07-29T12:44:10Z
2010-07-29,2010-07-29_25L_JB_5,2,25L,X44,NA,NA,2010-07-29T12:49:10Z
2010-07-29,2010-07-29_25L_JB_5,3,25L,X44,NA,NA,2010-07-29T12:55:06Z
2010-07-29,2010-07-29_36S_JB_3,1,36S,00O,NA,NA,2010-07-29T10:07:38Z
2010-07-29,2010-07-29_36S_JB_3,2,36S,36S,NA,NA,2010-07-29T10:12:49Z
2010-07-29,2010-07-29_36S_JB_3,3,36S,36S,NA,NA,2010-07-29T10:17:47Z
2010-07-29,2010-07-29_36T_JB_4,1,36T,35V,NA,NA,2010-07-29T11:20:07Z
2010-07-29,2010-07-29_36T_JB_4,2,36T,36T,NA,NA,2010-07-29T11:25:01Z
2010-07-29,2010-07-29_36T_JB_4,3,36T,36T,NA,NA,2010-07-29T11:30:00Z
2010-07-29,2010-07-29_42L_JB_2,1,42L,"04I, 87K",NA,NA,2010-07-29T08:47:10Z
2010-07-29,2010-07-29_42L_JB_2,2,42L,42L,NA,NA,2010-07-29T08:54:56Z
2010-07-29,2010-07-29_42L_JB_2,3,42L,87K,NA,NA,2010-07-29T08:57:12Z
2010-07-29,2010-07-29_43J_JB_5,1,43J,"07D, 73B",NA,NA,2010-07-29T12:20:49Z
2010-07-29,2010-07-29_43J_JB_5,2,43J,"07D, 73B",NA,NA,2010-07-29T12:25:59Z
2010-07-29,2010-07-29_43J_JB_5,3,43J,"07D, 73B",NA,NA,2010-07-29T12:30:48Z
2010-07-29,2010-07-29_44J_JB_1,1,44J,44J,NA,NA,2010-07-29T07:44:34Z
2010-07-29,2010-07-29_44J_JB_1,2,44J,44J,NA,NA,2010-07-29T07:50:01Z
2010-07-29,2010-07-29_44J_JB_1,3,44J,44J,NA,NA,2010-07-29T07:54:32Z
2010-07-29,2010-07-29_59A_JB_2,1,59A,O52,NA,NA,2010-07-29T09:15:35Z
2010-07-29,2010-07-29_59A_JB_2,2,59A,59A,NA,NA,2010-07-29T09:21:08Z
2010-07-29,2010-07-29_59A_JB_2,3,59A,59A,NA,NA,2010-07-29T09:25:36Z
2010-07-29,2010-07-29_62V_JB_4,1,62V,"10S, 00J, 43J, 30L",NA,NA,2010-07-29T11:02:27Z
2010-07-29,2010-07-29_62V_JB_4,2,62V,"unknown, 79C",NA,NA,2010-07-29T11:08:02Z
2010-07-29,2010-07-29_62V_JB_4,3,62V,62V,NA,NA,2010-07-29T11:12:21Z
2010-07-29,2010-07-29_80T_JB_4,1,80T,80T,NA,NA,2010-07-29T11:39:14Z
2010-07-29,2010-07-29_80T_JB_4,2,80T,"99V, 07T",NA,NA,2010-07-29T11:44:06Z
2010-07-29,2010-07-29_80T_JB_4,3,80T,80T,NA,NA,2010-07-29T11:48:57Z
2010-07-29,2010-07-29_90D_JB_3,1,90D,90D,NA,NA,2010-07-29T09:55:38Z
2010-07-29,2010-07-29_90D_JB_3,2,90D,90D,NA,NA,2010-07-29T10:00:50Z
2010-07-29,2010-07-29_90D_JB_3,3,90D,90D,NA,NA,2010-07-29T10:05:33Z
2010-07-29,2010-07-29_96B_JB_3,1,96B,96B,NA,NA,2010-07-29T09:36:29Z
2010-07-29,2010-07-29_96B_JB_3,2,96B,00O,NA,NA,2010-07-29T09:40:10Z
2010-07-29,2010-07-29_99V_JB_5,1,99V,07T,NA,NA,2010-07-29T11:52:01Z
2010-07-29,2010-07-29_99V_JB_5,2,99V,07T,NA,NA,2010-07-29T11:57:09Z
2010-07-29,2010-07-29_99V_JB_5,3,99V,99V,NA,NA,2010-07-29T12:02:02Z
2010-07-29,2010-07-29_K00_JB_6,1,K00,92D,NA,NA,2010-07-29T13:10:22Z
2010-07-29,2010-07-29_K00_JB_6,2,K00,92D,NA,NA,2010-07-29T13:15:22Z
2010-07-29,2010-07-29_K00_JB_6,3,K00,92D,NA,NA,2010-07-29T13:20:20Z
2010-07-29,2010-07-29_R65_JB_5,1,R65,R65,NA,NA,2010-07-29T12:07:03Z
2010-07-29,2010-07-29_R65_JB_5,2,R65,R65,NA,NA,2010-07-29T12:12:45Z
2010-07-29,2010-07-29_R65_JB_5,3,R65,R65,NA,NA,2010-07-29T12:17:20Z
2010-07-29,2010-07-29_X44_JB_6,1,X44,25L,NA,NA,2010-07-29T12:56:58Z
2010-07-29,2010-07-29_X44_JB_6,2,X44,25L,NA,NA,2010-07-29T13:02:30Z
2010-07-29,2010-07-29_X44_JB_6,3,X44,25L,NA,NA,2010-07-29T13:07:06Z
2010-07-29,2010-07-29_X58_JB_3,1,X58,30C,NA,NA,2010-07-29T09:42:05Z
2010-07-29,2010-07-29_X58_JB_3,2,X58,X58,NA,NA,2010-07-29T09:47:28Z
2010-07-29,2010-07-29_X58_JB_3,3,X58,X58,NA,NA,2010-07-29T09:52:10Z
2010-07-30,2010-07-30_00O_JB_3,1,00O,00O,NA,NA,2010-07-30T09:41:31Z
2010-07-30,2010-07-30_00O_JB_3,2,00O,00O,NA,NA,2010-07-30T09:47:38Z
2010-07-30,2010-07-30_00O_JB_3,3,00O,00O,NA,NA,2010-07-30T09:51:27Z
