date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2016-08-08,2016-08-08_0G3_JN_6,1,0G3,0G3,rest,NA,2016-08-08T14:39:16Z
2016-08-08,2016-08-08_0G3_JN_6,2,0G3,0G3,rest,NA,2016-08-08T14:44:17Z
2016-08-08,2016-08-08_0K1_JN_4,1,0K1,0K1,rest,NA,2016-08-08T12:53:15Z
2016-08-08,2016-08-08_0K1_JN_4,2,0K1,0K1,rest,NA,2016-08-08T12:58:16Z
2016-08-08,2016-08-08_0M2_JN_3,1,0M2,0M2,rest,NA,2016-08-08T10:58:30Z
2016-08-08,2016-08-08_0M2_JN_3,2,0M2,0M2,rest,NA,2016-08-08T11:03:30Z
2016-08-08,2016-08-08_16S_JN_2,1,16S,16S,rest,NA,2016-08-08T09:54:31Z
2016-08-08,2016-08-08_16S_JN_2,2,16S,16S,rest,NA,2016-08-08T09:59:32Z
2016-08-08,2016-08-08_1B7_JN_3,1,1B7,1B7,rest,NA,2016-08-08T11:21:44Z
2016-08-08,2016-08-08_1B7_JN_3,2,1B7,"1B7, 6H6, 7E3",rest,"rest, rest",2016-08-08T11:26:45Z
2016-08-08,2016-08-08_1G8_JN_3,1,1G8,1G8,rest,NA,2016-08-08T10:52:17Z
2016-08-08,2016-08-08_1G8_JN_3,2,1G8,1G8,rest,NA,2016-08-08T10:57:19Z
2016-08-08,2016-08-08_1Q8_JN_3,1,1Q8,1Q8,social,NA,2016-08-08T11:06:54Z
2016-08-08,2016-08-08_1Q8_JN_3,2,1Q8,1Q8,rest,NA,2016-08-08T11:11:54Z
2016-08-08,2016-08-08_2E9_JN_3,1,2E9,"2E9, 56R",rest,rest,2016-08-08T10:58:28Z
2016-08-08,2016-08-08_2E9_JN_3,2,2E9,2E9,feedplant,NA,2016-08-08T11:03:33Z
2016-08-08,2016-08-08_3A6_JN_2,1,3A6,3A6,rest,NA,2016-08-08T10:01:18Z
2016-08-08,2016-08-08_3A6_JN_2,2,3A6,3A6,rest,NA,2016-08-08T10:06:21Z
2016-08-08,2016-08-08_3A9_JN_3,1,3A9,3A9,feedplant,NA,2016-08-08T10:50:02Z
2016-08-08,2016-08-08_3A9_JN_3,2,3A9,3A9,rest,NA,2016-08-08T10:55:02Z
2016-08-08,2016-08-08_3L5_JN_2,1,3L5,3L5,travel,NA,2016-08-08T09:35:37Z
2016-08-08,2016-08-08_3L5_JN_2,2,3L5,3L5,rest,NA,2016-08-08T09:40:39Z
2016-08-08,2016-08-08_3L6_JN_5,1,3L6,3L6,rest,NA,2016-08-08T13:25:32Z
2016-08-08,2016-08-08_3L6_JN_5,2,3L6,3L6,rest,NA,2016-08-08T13:30:34Z
2016-08-08,2016-08-08_3N4_JN_5,1,3N4,3N4,social,NA,2016-08-08T13:50:28Z
2016-08-08,2016-08-08_3N4_JN_5,2,3N4,3N4,feedplant,NA,2016-08-08T13:55:25Z
2016-08-08,2016-08-08_3P7_JN_3,1,3P7,3P7,rest,NA,2016-08-08T11:05:49Z
2016-08-08,2016-08-08_3P7_JN_3,2,3P7,3P7,rest,NA,2016-08-08T11:10:53Z
2016-08-08,2016-08-08_49Z_JN_4,1,49Z,49Z,rest,NA,2016-08-08T12:46:25Z
2016-08-08,2016-08-08_49Z_JN_4,2,49Z,49Z,rest,NA,2016-08-08T12:51:25Z
2016-08-08,2016-08-08_4C6_JN_1,1,4C6,4C6,rest,NA,2016-08-08T09:19:53Z
2016-08-08,2016-08-08_4C6_JN_1,2,4C6,4C6,travel,NA,2016-08-08T09:24:57Z
2016-08-08,2016-08-08_4I9_JN_6,1,4I9,4I9,rest,NA,2016-08-08T14:16:45Z
2016-08-08,2016-08-08_4I9_JN_6,2,4I9,4I9,feedplant,NA,2016-08-08T14:21:46Z
2016-08-08,2016-08-08_4J0_JN_2,1,4J0,"4J0, 48V",rest,rest,2016-08-08T09:47:37Z
2016-08-08,2016-08-08_4J0_JN_2,2,4J0,4J0,social,NA,2016-08-08T09:52:38Z
2016-08-08,2016-08-08_4J6_JN_4,1,4J6,4J6,rest,NA,2016-08-08T12:25:16Z
2016-08-08,2016-08-08_4J6_JN_4,2,4J6,4J6,rest,NA,2016-08-08T12:30:17Z
2016-08-08,2016-08-08_4N7_JN_3,1,4N7,4N7,rest,NA,2016-08-08T11:19:47Z
2016-08-08,2016-08-08_4N7_JN_3,2,4N7,4N7,travel,NA,2016-08-08T11:24:49Z
2016-08-08,2016-08-08_4N8_JN_5,1,4N8,4N8,rest,NA,2016-08-08T13:59:49Z
2016-08-08,2016-08-08_4N8_JN_5,2,4N8,4N8,feedplant,NA,2016-08-08T14:04:49Z
2016-08-08,2016-08-08_50P_JN_2,1,50P,50P,rest,NA,2016-08-08T09:41:22Z
2016-08-08,2016-08-08_50P_JN_2,2,50P,50P,travel,NA,2016-08-08T09:46:24Z
2016-08-08,2016-08-08_56R_JN_6,1,56R,56R,travel,NA,2016-08-08T14:26:23Z
2016-08-08,2016-08-08_56R_JN_6,2,56R,56R,travel,NA,2016-08-08T14:31:23Z
2016-08-08,2016-08-08_5B6_JN_4,1,5B6,5B6,rest,NA,2016-08-08T12:59:51Z
2016-08-08,2016-08-08_5B6_JN_4,2,5B6,5B6,rest,NA,2016-08-08T13:04:52Z
2016-08-08,2016-08-08_5H7_JN_3,1,5H7,5H7,feedplant,NA,2016-08-08T10:41:45Z
2016-08-08,2016-08-08_5H7_JN_3,2,5H7,5H7,rest,NA,2016-08-08T10:46:45Z
2016-08-08,2016-08-08_5J6_JN_3,1,5J6,5J6,rest,NA,2016-08-08T11:12:20Z
2016-08-08,2016-08-08_5J6_JN_3,2,5J6,5J6,rest,NA,2016-08-08T11:17:21Z
2016-08-08,2016-08-08_5N1_JN_6,1,5N1,"5N1, 6B4, 62S",rest,"rest, rest",2016-08-08T14:07:53Z
2016-08-08,2016-08-08_5N1_JN_6,2,5N1,5N1,rest,NA,2016-08-08T14:12:56Z
2016-08-08,2016-08-08_60T_JN_5,1,60T,60T,rest,NA,2016-08-08T13:12:11Z
2016-08-08,2016-08-08_60T_JN_5,2,60T,60T,rest,NA,2016-08-08T13:17:12Z
2016-08-08,2016-08-08_6B4_JN_2,1,6B4,6B4,rest,NA,2016-08-08T10:22:35Z
2016-08-08,2016-08-08_6B4_JN_2,2,6B4,6B4,social,NA,2016-08-08T10:27:42Z
2016-08-08,2016-08-08_6H6_JN_5,1,6H6,6H6,rest,NA,2016-08-08T13:06:21Z
2016-08-08,2016-08-08_6H6_JN_5,2,6H6,6H6,rest,NA,2016-08-08T13:11:24Z
2016-08-08,2016-08-08_7L0_JN_4,1,7L0,"7L0, 94S, 03Z",rest,"rest, rest",2016-08-08T12:19:04Z
2016-08-08,2016-08-08_7L0_JN_4,2,7L0,"7L0, 4J0",rest,rest,2016-08-08T12:24:06Z
2016-08-08,2016-08-08_7L7_JN_3,1,7L7,"7L7, 5B6",rest,rest,2016-08-08T10:45:05Z
2016-08-08,2016-08-08_7L7_JN_3,2,7L7,"7L7, 5B6, 62S",rest,"rest, rest",2016-08-08T10:50:15Z
2016-08-08,2016-08-08_80S_JN_5,1,80S,"80S, 0B9",rest,rest,2016-08-08T13:32:51Z
2016-08-08,2016-08-08_80S_JN_5,2,80S,"80S, 0B9",rest,rest,2016-08-08T13:37:52Z
2016-08-08,2016-08-08_8K7_JN_6,1,8K7,8K7,rest,NA,2016-08-08T14:32:14Z
2016-08-08,2016-08-08_8K7_JN_6,2,8K7,8K7,rest,NA,2016-08-08T14:37:21Z
2016-08-08,2016-08-08_8L6_JN_1,1,8L6,8L6,feedplant,NA,2016-08-08T09:13:01Z
2016-08-08,2016-08-08_8L6_JN_1,2,8L6,8L6,feedplant,NA,2016-08-08T09:18:03Z
2016-08-08,2016-08-08_94O_JN_1,1,94O,94O,rest,NA,2016-08-08T09:01:56Z
2016-08-08,2016-08-08_94O_JN_1,2,94O,94O,feedplant,NA,2016-08-08T09:06:56Z
2016-08-08,2016-08-08_9C6_JN_6,1,9C6,"9C6, 7E0",rest,rest,2016-08-08T14:45:19Z
2016-08-08,2016-08-08_9C6_JN_6,2,9C6,9C6,travel,NA,2016-08-08T14:50:20Z
2016-08-08,2016-08-08_9I7_JN_2,1,9I7,9I7,travel,NA,2016-08-08T10:30:05Z
2016-08-08,2016-08-08_9I7_JN_2,2,9I7,9I7,rest,NA,2016-08-08T10:35:04Z
2016-08-08,2016-08-08_9N0_JN_3,1,9N0,"9N0, 9I7",rest,rest,2016-08-08T10:37:23Z
2016-08-08,2016-08-08_9N0_JN_3,2,9N0,9N0,rest,NA,2016-08-08T10:42:23Z
2016-08-08,2016-08-08_9P5_JN_3,1,9P5,9P5,rest,NA,2016-08-08T11:14:31Z
2016-08-08,2016-08-08_9P5_JN_3,2,9P5,9P5,travel,NA,2016-08-08T11:19:33Z
2016-08-08,2016-08-08_9P6_JN_1,1,9P6,9P6,travel,NA,2016-08-08T09:27:08Z
2016-08-08,2016-08-08_9P6_JN_1,2,9P6,9P6,travel,NA,2016-08-08T09:32:09Z
2016-08-08,2016-08-08_V80_JN_5,1,V80,V80,rest,NA,2016-08-08T13:18:24Z
2016-08-08,2016-08-08_V80_JN_5,2,V80,V80,travel,NA,2016-08-08T13:23:42Z
2016-08-09,2016-08-09_0B9_JN_5,1,0B9,"0B9, 62S",rest,rest,2016-08-09T13:54:02Z
2016-08-09,2016-08-09_0B9_JN_5,2,0B9,"0B9, 0G3",rest,rest,2016-08-09T13:59:05Z
2016-08-09,2016-08-09_3A6_JN_5,1,3A6,3A6,rest,NA,2016-08-09T13:46:57Z
2016-08-09,2016-08-09_3A6_JN_5,2,3A6,3A6,rest,NA,2016-08-09T13:51:59Z
2016-08-09,2016-08-09_43N_JN_6,1,43N,43N,rest,NA,2016-08-09T14:28:28Z
2016-08-09,2016-08-09_43N_JN_6,2,43N,"43N, 03Z",rest,rest,2016-08-09T14:33:28Z
2016-08-09,2016-08-09_48V_JN_5,1,48V,48V,rest,NA,2016-08-09T13:39:18Z
2016-08-09,2016-08-09_48V_JN_5,2,48V,"48V, 8E2, 41N",rest,"rest, rest",2016-08-09T13:44:19Z
2016-08-09,2016-08-09_4J3_JN_6,1,4J3,4J3,rest,NA,2016-08-09T14:45:41Z
