agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
1E5,25L,avoid,Male,Male,2016-08-10,SML,focalfollow,agonism.winner
1E5,25L,displace,Male,Male,2016-08-10,SML,focalfollow,agonism.winner
2G8,adult female,threat,Female,Unknown,2016-08-10,SML,focalfollow,agonism.winner
5E1,4A0,contactagg,Male,Female,2016-08-10,SML,focalfollow,agonism.winner
8B5,adult male,noncontactagg,Male,Unknown,2016-08-10,SML,focalfollow,agonism.winner
8B5,juvenile,noncontactagg,Male,Unknown,2016-08-10,SML,focalfollow,agonism.winner
0E2,33V,displace,Female,Female,2016-08-11,SML,focalfollow,agonism.winner
0E2,juvenile,contactagg,Female,Unknown,2016-08-11,SML,focalfollow,agonism.winner
1E7,4I1,noncontactagg,Female,Female,2016-08-11,SML,focalfollow,agonism.winner
25L,adult male,threat,Male,Unknown,2016-08-11,SML,focalfollow,agonism.winner
33V,76L,displace,Female,Female,2016-08-11,SML,focalfollow,agonism.winner
33V,0B4,contactagg,Female,Female,2016-08-11,SML,focalfollow,agonism.winner
48N,adult female,noncontactagg,Female,Unknown,2016-08-11,SML,focalfollow,agonism.winner
4I5,juvenile,noncontactagg,Female,Unknown,2016-08-11,SML,focalfollow,agonism.winner
7B2,49L,displace,Male,Male,2016-08-11,SML,focalfollow,agonism.winner
7B2,49L,threat,Male,Male,2016-08-11,SML,focalfollow,agonism.winner
7F2,48N,displace,Female,Female,2016-08-11,SML,focalfollow,agonism.winner
0J1,6D8,displace,Male,Female,2016-08-12,SML,focalfollow,agonism.winner
25L,juvenile,noncontactagg,Male,Unknown,2016-08-12,SML,focalfollow,agonism.winner
3J3,juvenile,noncontactagg,Female,Unknown,2016-08-12,SML,focalfollow,agonism.winner
3J3,juvenile,contactagg,Female,Unknown,2016-08-12,SML,focalfollow,agonism.winner
88T,85V,threat,Male,Female,2016-08-12,SML,focalfollow,agonism.winner
93I,5G2,noncontactagg,Female,Male,2016-08-12,SML,focalfollow,agonism.winner
1D5,3F4,avoid,Male,Female,2016-08-15,SML,focalfollow,agonism.winner
2F0,9J5,displace,Female,Female,2016-08-15,SML,focalfollow,agonism.winner
2F0,juvenile,threat,Female,Unknown,2016-08-15,SML,focalfollow,agonism.winner
4I4,3H4,displace,Female,Female,2016-08-15,SML,focalfollow,agonism.winner
84J,adult female,threat,Male,Unknown,2016-08-15,SML,focalfollow,agonism.winner
8B5,89K,submit,Male,Female,2016-08-15,SML,focalfollow,agonism.winner
8B5,9E6,avoid,Male,Male,2016-08-15,SML,focalfollow,agonism.winner
