id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
43F,F,1996,18,Z14,R70,Z14,F,1,H,100,4306,8.666666666666666,Y
0G5,F,2007,7,43F,75H,43F,F,2,H,97.297,75,8.666666666666666,Y
5C0,F,2005,9,43F,08N,43F,F,3,H,95.946,5030,8.666666666666666,Y
43J,F,1998,16,H74,O23,H74,F,4,H,94.595,4310,8.333333333333334,Y
4C1,F,2005,9,43J,07D,43J,F,5,H,93.243,4031,8.5,Y
9D8,F,2006,8,85S,84E,85S,F,6,H,91.892,9048,8.5,Y
82A,F,1993,21,H74,H87,H74,F,7,H,90.541,8201,8.166666666666666,Y
6C0,F,2006,8,82A,08N,82A,F,8,H,89.189,6030,8.5,Y
98T,F,2004,10,R65,30C,R65,F,9,H,87.838,9820,8.166666666666666,Y
04N,F,2000,14,17C,Z06,17C,F,10,H,86.486,414,8.5,Y
3E2,F,2006,8,04N,48L,04N,F,11,H,85.135,3052,7.833333333333333,Y
60P,F,2000,14,42B,29C,42B,F,12,H,83.784,6016,5.5,Y
92D,F,1994,20,K00,D11,K00,F,13,H,82.432,9204,8.5,Y
K00,F,1986,28,NA,NA,930,F,14,H,81.081,1100,8.166666666666666,Y
64P,F,2000,14,39B,85B,39B,F,15,M,79.73,6416,8.5,Y
62H,F,1996,18,O53,H87,O53,F,16,M,78.378,6208,8.5,Y
0A4,F,2004,10,62H,07D,62H,F,17,M,77.027,14,8.5,Y
59A,F,1992,22,NA,658,J97,F,18,M,75.676,5901,8.5,Y
O52,F,1988,26,577,C18,577,F,19,M,74.324,1552,8.166666666666666,Y
7C0,F,2005,9,O52,64K,O52,F,20,M,72.973,7030,8.666666666666666,Y
6F2,F,2007,7,73B,36S,73B,F,21,M,71.622,6062,8.333333333333334,Y
82L,F,2000,14,NA,56C,27C,F,22,M,70.27,8212,7.833333333333333,Y
50S,F,2002,12,Z08,10D,Z08,F,23,M,68.919,5019,8.666666666666666,Y
7D8,F,2006,8,47L,09K,47L,F,24,M,67.568,7048,8.5,Y
44J,F,1997,17,48B,51A,48B,F,25,M,66.216,4410,8.666666666666666,Y
2A8,F,2004,10,44J,86D,44J,F,26,M,64.865,2018,8.5,Y
8B0,F,2005,9,48B,08N,48B,F,27,M,63.514,8020,8.166666666666666,Y
1C0,F,2005,9,V65,08N,V65,F,28,M,62.162,1030,8.5,Y
32S,F,2001,13,V65,45A,V65,F,29,M,60.811,3219,8.5,Y
90D,F,1995,19,D69,C98,D69,F,30,M,59.459,9004,8.5,Y
00O,F,1999,15,90D,56C,90D,F,31,M,58.108,15,8.333333333333334,Y
56E,F,1996,18,C26,S94,C26,F,32,M,56.757,5605,8.5,Y
79Z,F,2004,10,64A,79H,64A,F,33,M,55.405,7926,8.333333333333334,Y
64D,F,1995,19,I68,NA,I68,F,34,M,54.054,6404,8.5,Y
57H,F,1997,17,699,J26,699,F,35,M,52.703,5708,8.666666666666666,Y
40L,F,1999,15,64A,Z06,64A,F,36,M,51.351,4012,8,Y
2A7,F,2004,10,40L,79H,40L,F,37,M,50,2017,8.5,Y
50I,F,1997,17,64A,S56,64A,F,38,L,48.649,5009,8.666666666666666,Y
61J,F,1999,15,V58,V79,V58,F,39,L,47.297,6110,8.333333333333334,Y
34N,F,1999,15,J92,R70,J92,F,40,L,45.946,3414,8.666666666666666,Y
55V,F,2003,11,J92,90B,J92,F,41,L,44.595,5522,8.333333333333334,Y
1A3,F,2004,10,34N,86D,34N,F,42,L,43.243,1013,8.5,Y
20F,F,1996,18,R68,H87,R68,F,43,L,41.892,2006,8.5,Y
3C3,F,2005,9,43I,65F,43I,F,44,L,40.541,3033,8.5,Y
8E8,F,2007,7,43I,25L,43I,F,45,L,39.189,8058,8.666666666666666,Y
63V,F,2003,11,89C,60E,89C,F,46,L,37.838,6322,8.5,Y
7B7,F,2005,9,89C,65F,89C,F,47,L,36.486,7027,8.666666666666666,Y
0C6,F,2005,9,42L,01K,42L,F,48,L,35.135,36,8.5,Y
87K,F,1998,16,J91,H87,J91,F,49,L,33.784,8711,8.333333333333334,Y
42L,F,1999,15,J91,I37,J91,F,50,L,32.432,4212,8.5,Y
