animal_ID,birth_season,age,birth_date,sex,with_infant,trapping_date,euthanasia_date,days_between,necropsy_id,ketamine_time,initial_ketamine_amount,total_ketamine_amount,euthanasia_time,perfusion_time_start,perfusion_time_end,saline_L,head_off_time,brain_extraction_time,brain_frozen_time,blood_in_brain,weight_kg,brain_weight_grams,left_eye_fixed,right_eye_fixed,MBR_ID,MMB_ID,MPTB_ID,animal_metadata_comments
7S5,2015,4.1,09/23/2014,M,N,10/16/2018,10/17/2018,1,A18-330,NT,NT,NT,14:34,14:38,NT,6,NT,NT,15:37,N,5.10,90.9,NT,NT,MBR0267,MMB0267,,saline backflowed
8T5,2015,4.3,07/09/2014,M,N,10/16/2018,10/17/2018,1,A18-329,NT,NT,NT,11:58,12:02,NT,5,NT,12:40,13:02,Y,6.90,99.0,NT,NT,MBR0266,MMB0266,,
1S8,2014,5.2,08/17/2013,M,N,10/29/2018,10/30/2018,1,A18-337,10:30,1.5,2.4,12:17,12:22,NT,7,NT,13:06,13:39,,8.60,111.0,NT,NT,MBR0226,MMB0226,,
8S7,2015,4.2,08/26/2014,M,N,10/29/2018,10/30/2018,1,A18-338,13:40,1.2,1.7,13:45,13:55,14:03,6,NT,14:53,15:15,,6.30,103.5,NT,NT,MBR0290,MMB0290,,
1C5,2006,13.0,10/22/2005,F,N,10/30/2018,11/01/2018,2,A18-343,10:40,1.2,1.7,11:46,11:50,12:07,8,12:17,12:30,NT,,6.60,82.3,NT,NT,MBR0153,MMB0153,,"most labels are handwritten; 2nd set of labels printed (eg. MB213717-MB213733 from 1c5_redo.pages.pdf), but they went unused"
1T9,2015,4.1,09/23/2014,F,N,10/30/2018,11/01/2018,2,A18-342,13:40,1.2,1.7,10:45,10:54,11:03,NT,11:20,11:29,11:55,,5.48,99.6,NT,NT,MBR0243,MMB0243,,
3Q9,2014,5.2,09/02/2013,M,N,10/30/2018,11/01/2018,2,A18-344,11:38,1.2,1.7,12:45,12:51,13:06,8,13:18,13:30,13:54,,7.60,92.4,NT,NT,MBR0230,MMB0230,,
4S8,2015,4.0,10/22/2014,M,N,10/30/2018,11/01/2018,2,A18-341,8:40,1.6,2.1,9:50,9:58,10:06,3,10:25,10:35,11:00,,6.12,90.4,NT,NT,MBR0277,MMB0277,,
4T4,2015,4.2,08/30/2014,F,N,10/30/2018,11/01/2018,2,A18-346,14:15,1.2,1.7,15:02,15:10,15:20,4,15:37,15:46,16:07,,5.50,86.5,NT,NT,MBR0249,MMB0249,,
5S3,2015,4.2,08/24/2014,M,N,10/30/2018,11/01/2018,2,A18-347,15:00,1.2,1.7,16:00,16:04,16:21,4,16:30,16:40,17:00,,5.00,89.8,NT,NT,MBR0282,MMB0282,,
4R3,2014,5.2,08/16/2013,M,N,10/30/2018,11/02/2018,3,A18-350,11:00,1,1.4,12:30,12:35,12:44,5,12:55,13:10,13:37,,6.92,83.1,NT,NT,MBR0234,MMB0234,,
5L3,2011,8.1,09/24/2010,M,N,10/30/2018,11/02/2018,3,A18-348,8:45,1.8,1.8,9:59,10:01,10:14,9,NT,NT,11:05,,11.14,115.7,NT,NT,MBR0280,MMB0280,,
6S2,2015,4.3,07/29/2014,M,N,10/30/2018,11/02/2018,3,A18-349,10:00,0.9,1.3,11:31,11:35,11:50,8,NT,12:17,12:37,,6.02,101.8,NT,NT,MBR0284,MMB0284,,
1R1,2014,5.3,08/05/2013,F,Y,11/05/2018,11/06/2018,1,A18-352,14:30,1.1,1.9,15:50,15:55,16:03,5,NT,16:25,16:45,,6.58,90.4,NT,NT,MBR0223,MMB0223,,
2R9,2014,5.1,10/09/2013,F,N,11/05/2018,11/06/2018,1,A18-354,14:00,1.1,1.5,14:54,14:58,15:07,4,NT,NT,15:44,,6.24,93.6,NT,NT,MBR0228,MMB0228,,
4P6,2013,6.1,10/08/2012,F,Y,11/05/2018,11/06/2018,1,A18-353,10:48,1.1,1.5,12:02,12:06,12:16,NT,NT,12:36,12:54,,6.24,100.1,NT,NT,MBR0216,MMB0216,,
I191R1,2019,0.3,07/27/2018,M,N,11/05/2018,11/06/2018,1,A18-355,14:45,0.15,0.25,16:42,16:45,17:00,NT,NT,17:10,NT,,0.88,81.7,NT,NT,MBR0339,MMB0339,,
I194P6,2019,0.3,07/13/2018,M,N,11/05/2018,11/06/2018,1,A18-356,12:20,0.15,0.25,14:10,14:15,14:20,NT,NT,14:31,14:50,,1.04,87.1,NT,NT,MBR0348,MMB0348,,
0T8,2015,4.2,08/13/2014,F,N,11/05/2018,11/07/2018,2,A18-361,13:00,1,1.4,NT,NT,NT,NT,NT,15:38,15:58,,4.98,75.9,NT,NT,MBR0240,MMB0240,,
2T2,2015,4.1,10/06/2014,M,N,11/05/2018,11/07/2018,2,A18-360,11:00,1,1.4,12:29,12:34,12:45,6,NT,13:15,13:35,,4.98,105.6,13:22,13:50,MBR0275,MMB0275,,
3O7,2013,6.1,09/23/2012,M,N,11/06/2018,11/07/2018,1,A18-363,14:40,1.5,2.1,16:33,16:40,16:55,6,NT,17:16,17:50,,8.52,88.4,NT,NT,MBR0214,MMB0214,,
5S1,2015,4.2,08/16/2014,M,N,11/05/2018,11/07/2018,2,A18-358,8:40,1,1.4,10:18,10:26,10:37,6,NT,10:58,11:21,,6.08,103.9,11:34,11:32,MBR0281,MMB0281,,
6O7,2013,6.0,10/27/2012,F,N,11/05/2018,11/07/2018,2,A18-359,NT,1.3,1.7,11:27,11:34,11:41,6,NT,12:06,12:28,,6.92,93.1,12:12,12:31,MBR0218,MMB0218,,
7J7,2010,9.1,09/19/2009,F,N,11/06/2018,11/07/2018,1,A18-362,14:25,1.2,1.7,15:40,15:46,15:53,6,NT,16:18,16:48,,6.20,84.8,NT,NT,MBR0180,MMB0180,,
0L5,2011,8.1,10/13/2010,M,N,11/06/2018,11/08/2018,2,A18-368,13:15,1.5,2,14:55,15:01,15:12,9,NT,15:30,16:00,,12.76,91.1,16:09,16:33,MBR0183,MMB0183,,
1C7,2006,13.0,11/23/2005,F,N,11/06/2018,11/08/2018,2,A18-365,9:30,1.2,1.9,10:28,10:35,10:44,7,NT,11:03,11:28,,7.22,90.1,11:20,11:45,MBR0154,MMB0154,,
1P5,2013,6.2,08/21/2012,M,N,11/06/2018,11/08/2018,2,A18-370,14:00,1.3,1.8,15:55,16:01,16:15,7.5,NT,16:35,17:07,,10.26,96.0,17:12,17:30,MBR0210,MMB0210,,
5M5,2012,7.2,09/01/2011,F,N,11/06/2018,11/08/2018,2,A18-364,NT,1.2,2,9:25,9:32,9:41,7.5,NT,10:07,10:39,,6.92,NA,10:46,NT,MBR0201,MMB0201,,
6K6,2011,8.2,09/06/2010,F,N,11/06/2018,11/08/2018,2,A18-369,12:40,1.3,1.8,13:58,14:05,14:12,6,NT,14:36,15:04,,6.24,88.2,14:44,15:11,MBR0187,MMB0187,,
6L3,2011,8.1,09/27/2010,M,N,11/06/2018,11/08/2018,2,A18-367,11:00,1.5,2.1,12:12,12:18,12:34,7.5,NT,12:50,13:10,,10.72,99.2,12:57,13:20,MBR0189,MMB0189,,
9Q5,2014,5.2,08/29/2013,F,N,11/06/2018,11/08/2018,2,A18-366,9:25,1.3,1.8,11:22,11:27,11:36,6,NT,12:00,12:22,,6.00,93.0,12:05,12:28,MBR0239,MMB0239,,
2O7,2013,6.4,05/31/2012,F,N,11/06/2018,11/09/2018,3,A18-371,NT,NT,NT,10:23,10:29,10:45,7,NT,11:00,11:21,,6.32,81.2,11:05,11:33,MBR0212,MMB0212,,
4R4,2014,5.2,09/02/2013,F,Y,11/06/2018,11/09/2018,3,A18-373,NT,NT,NT,13:22,13:27,13:47,9,NT,14:09,14:35,,6.06,90.3,14:36,14:53,MBR0235,MMB0235,,
8H2,2009,10.1,09/22/2008,M,N,11/06/2018,11/09/2018,3,A18-372,NT,NT,NT,11:42,11:46,12:10,10,NT,12:31,13:05,,11.30,114.7,13:07,13:21,MBR0289,MMB0289,,
I194R4,2019,0.3,07/15/2018,M,N,11/06/2018,11/09/2018,3,A18-374,NT,NT,NT,14:40,14:45,15:14,4,NT,15:30,NT,,1.04,81.6,NT,NT,MBR0349,MMB0349,,
1E2,2007,12.1,10/17/2006,F,Y,11/26/2018,11/27/2018,1,A18-387,10:20,1.2,1.8,12:01,12:05,12:12,6,NT,12:30,12:59,,6.36,83.0,NT,NT,MBR0160,MMB0160,,
1L1,2011,8.2,09/26/2010,F,Y,11/26/2018,11/27/2018,1,A18-389,13:10,1.1,1.25,14:37,14:47,14:56,7,NT,15:10,15:46,,5.74,84.5,15:25,15:50,MBR0184,MMB0184,,CSF taken from L7/S1 lumbar puncture
44V,2004,14.8,02/13/2004,F,N,11/26/2018,11/27/2018,1,A18-392,NT,NT,NT,16:35,16:42,16:50,7,NT,17:05,17:33,,7.12,96.4,17:12,17:38,MBR0143,MMB0143,,
I191E2,2019,0.3,07/31/2018,M,N,11/26/2018,11/27/2018,1,A18-388,11:20,0.1,0.3,12:55,NA,NA,NA,NT,13:37,13:55,,0.72,66.2,NT,NT,MBR0335,MMB0335,,"animal labels indicate I181E2, but these are incorrect"
I191L1,2019,0.4,07/02/2018,F,N,11/26/2018,11/27/2018,1,A18-390,13:10,0.1,0.3,15:35,15:41,15:44,2,NT,16:04,16:35,,0.88,68.2,NT,NT,MBR0336,MMB0336,,
