id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
5H4,F,2008,7,21V,02R,21V,KK,1,H,100,5084,5.5,Y
24V,F,2003,12,Z51,70C,Z51,KK,2,H,94.28571429,2422,5.666666666666667,Y
62R,F,2002,13,Z51,Z46,Z51,KK,3,H,91.42857143,6218,5.5,Y
1E2,F,2006,9,88R,84J,88R,KK,4,H,88.57142857,1052,5.333333333333333,Y
0B6,F,2004,11,V05,64K,V05,KK,5,H,85.71428571,26,5.5,Y
2C3,F,2005,10,R75,S76,R75,KK,6,H,82.85714286,2033,5.333333333333333,Y
4F1,F,2007,8,99N,09L,99N,KK,7,H,80,4061,5.166666666666667,Y
76J,F,1999,16,R75,X81,R75,F,8,M,77.14285714,7610,5.5,Y
4D8,F,2006,9,76J,94O,76J,KK,9,M,74.28571429,4048,5.5,Y
86Z,F,2004,11,58H,30G,58H,KK,10,M,71.42857143,8626,5.5,Y
60R,F,2001,14,58H,K14,58H,KK,11,M,68.57142857,6018,5.5,Y
6D6,F,2006,9,45F,79H,45F,KK,12,M,65.71428571,6046,5.666666666666667,Y
3F7,F,2007,8,75J,09L,75J,KK,13,M,62.85714286,3067,5.5,Y
6C2,F,2005,10,75J,84J,75J,KK,14,M,60,6032,5.5,Y
53E,F,1996,19,L80,S94,L80,F,15,M,57.14285714,5305,1,N
2C4,F,2005,10,53E,57F,53E,KK,16,M,54.28571429,2034,5.333333333333333,Y
6D9,F,2006,9,64R,56K,64R,KK,17,M,51.42857143,6049,5.5,Y
83Z,F,2004,11,58N,X81,58N,KK,18,L,48.57142857,8326,5.333333333333333,Y
3F5,F,2007,8,48J,56K,48J,KK,19,L,45.71428571,3065,5.5,Y
19A,F,1992,23,O55,J26,O55,F,20,L,42.85714286,1901,5.5,Y
1C7,F,2005,10,19A,09L,19A,KK,21,L,40,1037,5.333333333333333,Y
37V,F,2003,12,19A,90B,19A,KK,22,L,37.14285714,3722,5.5,Y
51V,F,2003,12,37D,45A,37D,KK,23,L,34.28571429,5122,5.333333333333333,Y
93O,F,2000,15,L84,G23,L84,KK,24,L,31.42857143,9315,5.5,Y
6D4,F,2006,9,L84,09L,L84,KK,25,L,28.57142857,6044,5.5,Y
9H9,F,2008,7,93O,56K,93O,KK,26,L,25.71428571,9089,5.333333333333333,Y
2F2,F,2007,8,L84,57F,L84,KK,27,L,22.85714286,2062,5.5,Y
3G3,F,2008,7,44V,58P,44V,KK,28,L,20,3073,5.5,Y
44V,F,2004,11,O55,S56,O55,KK,29,L,17.14285714,4422,5.5,Y
55J,F,1998,17,65A,V79,65A,F,30,H,14.28571429,5510,5.666666666666667,Y
9C5,F,2006,9,55J,09L,55J,KK,31,L,11.42857143,9035,4.166666666666667,Y
25P,F,2000,15,65A,X57,65A,KK,32,L,8.571428571,2516,5.333333333333333,Y
49V,F,2003,12,65A,29H,65A,KK,33,L,5.714285714,4922,5.5,Y
1C5,F,2005,10,21G,79H,21G,KK,34,L,2.857142857,1035,5.833333333333333,Y
7F0,F,2007,8,37D,94O,37D,KK,35,L,0,7060,5.5,Y
94H,M,1998,17,X60,O15,X60,S,1,H,100,9408,5.5,Y
56K,M,1999,16,46B,X48,46B,S,2,H,90,5611,5.5,Y
27N,M,2000,15,77D,33A,77D,R,3,H,85,2714,5.666666666666667,Y
16R,M,2001,14,06A,X98,06A,S,4,H,80,1618,5.5,Y
27J,M,1997,18,J28,X94,J28,F,5,M,75,2710,5.666666666666667,Y
99L,M,1999,16,48B,51A,48B,F,6,M,70,9912,5.5,Y
46Z,M,2004,11,J41,20J,J41,V,7,M,65,4626,5.5,Y
2D0,M,2006,9,X37,05I,X37,R,8,M,60,2040,5.333333333333333,Y
6F1,M,2008,7,77G,O15,77G,R,9,M,55,6061,5.5,Y
6B8,M,2005,10,96G,80B,96G,R,10,M,50,6028,5.5,Y
51J,M,1998,17,64A,T29,64A,F,11,L,45,5110,5.5,Y
97Z,M,2004,11,28I,80B,28I,R,12,L,40,9726,5.166666666666667,Y
73Z,M,2004,11,30O,07D,30O,F,13,L,35,7326,5.333333333333333,Y
0C7,M,2005,10,28J,10D,28J,F,14,L,30,37,5.5,Y
64S,M,2002,13,59A,70C,59A,F,15,L,25,6419,5.333333333333333,Y
11Z,M,2003,12,74H,Z71,74H,R,16,L,20,1126,5.5,Y
98Z,M,2004,11,74B,25I,74B,R,17,L,15,9826,5.5,Y
9C8,M,2006,9,19A,S81,19A,KK,18,L,10,9038,5.666666666666667,Y
60E,M,1996,19,N12,H90,N12,F,19,L,5,6005,2.5,N
6A9,M,2004,11,29I,O15,29I,R,20,L,0,6019,2.5,N
