animal_id,culling year,euthanasia_date,age,sex,group
0V5,2016,2016-10-18,1.2,F,HH
2Q2,2016,2016-10-19,3.2,F,HH
3Q5,2016,2016-10-19,3,M,HH
7L0,2016,2016-10-19,6.1,F,HH
0K1,2016,2016-10-20,7,M,HH
3P2,2016,2016-10-20,4,M,HH
4N5,2016,2016-10-20,5.1,F,HH
4N5,2016,2016-10-20,5.1,F,HH
4N7,2016,2016-10-20,5.1,M,HH
6I4,2016,2016-10-20,7.1,M,HH
6R4,2016,2016-10-20,3.2,F,HH
9O0,2016,2016-10-20,4,M,HH
1R2,2016,2016-10-21,3.2,M,HH
4L8,2016,2016-10-21,6.1,F,HH
50P,2016,2016-10-21,15.6,M,HH
5N1,2016,2016-10-21,5.1,F,HH
9N0,2016,2016-10-21,5.1,F,HH
9P6,2016,2016-10-21,4.1,M,HH
I174L8,2016,2016-10-21,0.2,M,HH
22H,2016,2016-10-24,19.9,F,HH
3L5,2016,2016-10-24,5.9,M,HH
4J0,2016,2016-10-24,7.1,M,HH
4Q6,2016,2016-10-24,3.2,F,HH
8L6,2016,2016-10-24,6.1,M,HH
91O,2016,2016-10-24,15.9,M,HH
I1722H,2016,2016-10-24,0.1,F,HH
94O,2016,2016-10-25,15.9,M,HH
I1703Z,2016,2016-10-25,0.2,F,HH
I173N4,2016,2016-10-25,0.3,M,HH
03Z,2016,2016-10-26,12.8,F,HH
3L6,2016,2016-10-26,6.1,M,HH
9I7,2016,2016-10-26,6.9,F,HH
1G8,2016,2016-10-27,7.9,M,HH
20S,2016,2016-10-27,14.9,F,HH
4C6,2016,2016-10-27,10.8,M,HH
4I9,2016,2016-10-27,7,F,HH
60T,2016,2016-10-27,13.9,M,HH
I1720S,2016,2016-10-27,0.2,F,HH
55R,2016,2016-10-28,15,F,HH
65Z,2016,2016-10-28,12,F,HH
94S,2016,2016-10-28,13.9,F,HH
I1755R,2016,2016-10-28,0.2,F,HH
I1765Z,2016,2016-10-28,0.3,F,HH
I1794S,2016,2016-10-28,0.3,F,HH
3R3,2016,2016-10-31,3.2,F,HH
