"id","age","sex","brain_wt","group","year","hurricane.status"
"6M7",7.3,"f",87,"KK",2018,1
"6O6",7.1,"m",117.3,"S",2019,1
"6O7",6,"f",93.1,"KK",2018,1
"6O9",7.1,"f",95.8,"S",2019,1
"6S2",4.3,"m",101.8,"KK",2018,1
"6S7",4.3,"m",89.9,"KK",2018,1
"73Z",14.1,"m",96.8,"KK",2018,1
"74K",20.8,"f",81.1,"S",2019,1
"76J",19.9,"f",88.8,"KK",2018,1
"77S",13.9,"f",79.4,"HH",2016,0
"7E0",9.2,"f",94.7,"HH",2016,0
"7E3",9.2,"f",91.4,"HH",2016,0
"7F0",11.2,"f",93.6,"KK",2018,1
"7I8",9.2,"f",96.3,"KK",2018,1
"7J7",9.1,"f",84.8,"KK",2018,1
"7L0",6.1,"f",92.4,"HH",2016,0
"7L7",6.1,"f",89.3,"HH",2016,0
"7M7",8.2,"m",98.6,"S",2019,1
"7Q0",6,"f",96,"S",2019,1
"7Q3",5.3,"f",71.5,"KK",2018,1
"7Q4",6,"f",93.95,"S",2019,1
"7S5",4.1,"m",90.9,"KK",2018,1
"7T0",4.3,"f",89.4,"KK",2018,1
"80S",14.1,"f",90.2,"HH",2016,0
"82Z",14.9,"f",98.35,"S",2019,1
"8B3",13.1,"m",98.1,"KK",2018,1
"8C9",12.1,"m",90.1,"KK",2018,1
"8E2",9.1,"f",89.3,"HH",2016,0
"8H2",10.1,"m",114.7,"KK",2018,1
"8I9",9.2,"f",91.3,"KK",2018,1
"8K7",6.2,"f",95.7,"HH",2016,0
"8L3",8.2,"f",96.6,"KK",2018,1
"8L6",6.1,"m",88.1,"HH",2016,0
"8M5",8.1,"m",99,"S",2019,1
"8O9",6.3,"f",88.6,"KK",2018,1
"8Q2",6.1,"m",97.61,"S",2019,1
"8S7",5.2,"m",103.5,"KK",2018,1
"8S9",4.3,"m",101.5,"KK",2018,1
"8T4",4.2,"f",77.4,"KK",2018,1
"8T5",4.3,"m",99,"KK",2018,1
"8U4",4.4,"f",88.8,"KK",2018,1
"91O",15.9,"m",99.7,"HH",2016,0
"93O",18,"f",88.7,"KK",2018,1
"94O",15.9,"m",94.6,"HH",2016,0
"94S",13.9,"f",79.3,"HH",2016,0
"98Z",14.1,"m",95,"KK",2018,1
"9C6",10.2,"m",92.3,"HH",2016,0
"9I5",7,"f",87.8,"HH",2016,0
"9I7",6.9,"f",90.6,"HH",2016,0
"9I8",9.3,"f",92.5,"KK",2018,1
"9L9",8.1,"f",79,"KK",2018,1
"9N0",5.1,"f",77.2,"HH",2016,0
"9O0",4,"m",88.1,"HH",2016,0
"9P5",4.3,"f",81.9,"HH",2016,0
"9P6",4.1,"m",102.9,"HH",2016,0
"9Q5",5.2,"f",93,"KK",2018,1
"V80",25.9,"f",86.6,"HH",2016,0
