groom_giver,groom_reciever,constrained_duration,observation_name
3C3,8E8,291,2017-02-23_3C3_JN_3
0A9,7J8,26,2017-02-27_0A9_JG_5
00O,96B,30,2017-02-01_00O_JN_4
00O,96B,261,2017-03-16_00O_JN_5
5K3,0A4,82,2017-02-28_5K3_JN_3
43J,07D,136,2017-02-07_43J_JN_3
4C1,96B,26,2017-02-14_4C1_JN_3
2A5,8F3,80,2017-01-27_2A5_JG_1
9E5,34N,120,2017-01-31_9E5_JG_4
64P,96B,63,2017-03-09_64P_JG_6
9G3,68V,148,2017-02-22_9G3_JN_4
8B0,7D8,218,2017-03-30_8B0_JN_6
7G2,00O,70,2017-04-05_7G2_JG_4
1J7,2H3,62,2017-04-27_1J7_JG_5
9F5,43J,222,2017-02-22_9F5_JN_5
7I5,68V,462,2017-02-13_7I5_JN_3
43J,07D,320,2017-02-07_43J_JN_3
4C2,5K7,179,2017-01-23_4C2_JG_5
4C2,3E2,2,2017-01-23_4C2_JG_5
8B0,63V,30,2017-03-14_8B0_JN_6
1A3,34N,108,2017-01-27_1A3_JG_5
29Z,3E7,197,2017-02-09_29Z_JN_6
61J,79Z,91,2017-05-05_61J_JG_5
61J,12Z,75,2017-02-14_61J_JN_5
61J,5K1,540,2017-03-17_61J_JN_1
2A5,1K5,48,2017-03-22_2A5_JG_1
43J,07D,256,2017-05-05_43J_JG_6
00O,96B,132,2017-03-16_00O_JN_5
2L5,29Z,272,2017-02-14_2L5_JN_4
6C0,0G5,171,2017-02-02_6C0_JG_4
52P,5G3,128,2017-02-01_52P_JN_5
00O,12Z,361,2017-02-24_00O_JN_4
8B0,7G2,118,2017-02-21_8B0_JN_5
40L,2A7,73,2017-01-26_40L_JN_4
8J8,9D1,187,2017-02-01_8J8_JN_1
8J8,9D1,179,2017-02-01_8J8_JN_1
6C0,4C1,110,2017-08-03_6C0_JG_6
6C0,4C1,103,2017-08-03_6C0_JG_6
2H3,0I5,425,2017-05-11_2H3_JG_3
0I5,50I,260,2017-02-20_0I5_JG_6
2H3,55V,366,2017-05-03_2H3_JG_2
04Z,29Z,292,2017-03-21_04Z_JN_6
78T,1C2,80,2017-03-13_78T_JN_6
3C3,0K2,221,2017-02-01_3C3_JN_1
3C3,0K2,80,2017-02-01_3C3_JN_1
9G3,0L1,356,2017-03-29_9G3_JN_5
5C0,12Z,305,2017-02-13_5C0_JN_6
8J8,12Z,24,2017-01-30_8J8_JN_3
5K3,0A4,445,2017-02-01_5K3_JN_4
