id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed,focalcutoff_met
09Z,F,2003,16,46K,G07,46K,R,1,H,100,926,3.75,Y
7M9,F,2011,8,09Z,22O,09Z,R,2,H,96.61016949,NA,3.8333333333333335,Y
7F7,F,2007,12,X28,30G,X28,R,3,H,94.91525424,7067,3.8333333333333335,Y
2P0,F,2012,7,4D5,5B2,4D5,R,4,H,93.22033898,NA,3.8333333333333335,Y
77V,F,2003,16,37J,80B,37J,R,5,H,91.52542373,7722,3.75,Y
0P2,F,2012,7,77V,94Z,77V,R,6,H,89.83050847,NA,3.75,Y
33V,F,2004,15,50K,31I,50K,R,7,H,88.13559322,3322,3.75,Y
2G8,F,2009,10,35B,11Z,35B,R,8,H,86.44067797,2078,3.8333333333333335,Y
95V,F,2003,16,H45,25I,H45,R,9,H,84.74576271,9522,3.8333333333333335,Y
3H6,F,2008,11,95V,91P,95V,R,10,H,83.05084746,3086,3.9166666666666665,Y
91V,F,2003,16,67C,13I,67C,R,11,H,81.3559322,9122,3.8333333333333335,Y
7L1,F,2010,9,91V,11Z,91V,R,12,M,79.66101695,NA,3.9166666666666665,Y
0B4,F,2004,15,67C,13I,67C,R,13,M,77.96610169,24,3.8333333333333335,Y
3O0,F,2012,7,77D,94Z,77D,R,14,M,76.27118644,NA,3.8333333333333335,Y
60V,F,2003,16,77D,80B,77D,R,15,M,74.57627119,6022,3.75,Y
4M2,F,2011,8,77D,44T,77D,R,16,M,72.88135593,NA,3.8333333333333335,Y
38Z,F,2003,16,I56,57D,I56,S,17,M,71.18644068,3826,3.75,Y
0I7,F,2008,11,38Z,55T,38Z,S,18,M,69.49152542,NA,3.8333333333333335,Y
5A1,F,2004,15,I56,L34,I56,S,19,M,67.79661017,5011,3.8333333333333335,Y
3L9,F,2010,9,5A1,53N,5A1,S,20,M,66.10169492,NA,3.9166666666666665,Y
6M9,F,2011,8,5A1,19T,5A1,S,21,M,64.40677966,NA,4,Y
5H6,F,2008,11,5A1,16R,5A1,S,22,M,62.71186441,NA,3.9166666666666665,Y
5P1,F,2012,7,5H6,43V,5H6,S,23,M,61.01694915,NA,3.8333333333333335,Y
9C7,F,2006,13,I56,84E,I56,S,24,M,59.3220339,NA,3.8333333333333335,Y
4A9,F,2004,15,42A,96B,42A,S,25,M,57.62711864,4019,3.9166666666666665,Y
4P9,F,2012,7,4A9,36S,4A9,S,26,M,55.93220339,NA,3.8333333333333335,Y
8M6,F,2011,8,4A9,11Z,4A9,S,27,M,54.23728814,NA,3.9166666666666665,Y
74K,F,1998,21,42A,O15,42A,S,28,M,52.54237288,7411,3.75,Y
7A9,F,2004,15,74K,N60,74K,S,29,M,50.84745763,7019,3.8333333333333335,Y
1B4,F,2005,14,74K,T88,74K,S,30,L,49.15254237,NA,3.8333333333333335,Y
4P3,F,2012,7,1B4,43V,1B4,S,31,L,47.45762712,NA,3.75,Y
98V,F,2003,16,74K,25I,74K,S,32,L,45.76271186,9822,3.6666666666666665,Y
4H3,F,2008,11,98V,03N,98V,S,33,L,44.06779661,NA,3.75,Y
4H7,F,2008,11,03S,22O,03S,S,34,L,42.37288136,NA,3.75,Y
97R,F,2002,17,Z99,Z01,Z99,S,35,L,40.6779661,9718,3.75,Y
2D1,F,2006,13,97R,12O,97R,S,36,L,38.98305085,NA,3.9166666666666665,Y
4P4,F,2012,7,2D1,07D,2D1,S,37,L,37.28813559,NA,4,Y
8M0,F,2011,8,2D1,72T,2D1,S,38,L,35.59322034,NA,3.8333333333333335,Y
8I6,F,2009,10,97R,20J,97R,S,39,L,33.89830508,NA,3.6666666666666665,Y
3D1,F,2006,13,30F,84E,30F,S,40,L,32.20338983,NA,3.9166666666666665,Y
9L6,F,2010,9,T84,88V,T84,S,41,L,30.50847458,NA,4,Y
9I3,F,2009,10,89L,50T,89L,S,42,L,28.81355932,NA,3.9166666666666665,Y
3B8,F,2005,14,89L,12O,89L,S,43,L,27.11864407,NA,3.75,Y
6J4,F,2009,10,36D,18I,36D,S,44,L,25.42372881,NA,3.8333333333333335,Y
8M2,F,2011,8,36D,19T,36D,S,45,L,23.72881356,NA,3.8333333333333335,Y
2B4,F,2005,14,36D,85E,36D,S,46,L,22.03389831,NA,4,Y
6O9,F,2012,7,2B4,88V,2B4,S,47,L,20.33898305,NA,3.75,Y
3I4,F,2009,10,2B4,20J,2B4,S,48,L,18.6440678,NA,3.75,Y
7I4,F,2009,10,06A,18I,06A,S,49,L,16.94915254,NA,3.9166666666666665,Y
88N,F,2000,19,H64,O81,H64,S,50,L,15.25423729,8814,3.5,Y
3G2,F,2008,11,Z82,16N,Z82,S,51,L,13.55932203,NA,3.8333333333333335,Y
82Z,F,2004,15,H64,77I,H64,S,52,L,11.86440678,8226,3.8333333333333335,Y
4I3,F,2009,10,82Z,20J,82Z,S,53,L,10.16949153,NA,3.75,Y
1K8,F,2010,9,Z82,03T,Z82,S,54,L,8.474576271,NA,3.75,Y
2D4,F,2006,13,T83,43H,T83,S,55,L,6.779661017,NA,3.9166666666666665,Y
3D4,F,2006,13,51R,26P,51R,S,56,L,5.084745763,NA,3.75,Y
7M5,F,2011,8,3D4,88V,3D4,S,57,L,3.389830508,NA,3.8333333333333335,Y
2B1,F,2005,14,82H,12O,82H,S,58,L,1.694915254,NA,3.8333333333333335,Y
82V,F,2003,16,82H,57D,82H,S,59,L,0,8222,3.75,Y
7B3,M,2005,14,81E,12E,81E,V,1,H,100,7023,3.6666666666666665,Y
53N,M,1999,20,O52,V79,O52,F,2,H,92.85714286,5314,3.75,Y
6C6,M,2005,14,88I,27E,88I,F,3,H,89.28571429,6036,3.8333333333333335,Y
48L,M,1999,20,59A,R70,59A,F,4,H,85.71428571,4812,3.9166666666666665,Y
1F0,M,2007,12,42A,27E,42A,S,5,H,82.14285714,NA,3.8333333333333335,Y
2C6,M,2005,14,62O,68N,62O,KK,6,M,78.57142857,NA,3.8333333333333335,Y
67Z,M,2004,15,21H,30G,21H,KK,7,M,75,NA,3.8333333333333335,Y
7O1,M,2012,7,38Z,88V,38Z,S,8,M,71.42857143,NA,3.8333333333333335,Y
0C9,M,2005,14,X97,09K,X97,F,9,M,67.85714286,NA,3.8333333333333335,Y
9I4,M,2009,10,37V,72T,37V,KK,10,M,64.28571429,NA,3.8333333333333335,Y
5E4,M,2007,12,98J,72O,98J,V,11,M,60.71428571,5054,3.75,Y
6O6,M,2012,7,3B8,43V,3B8,S,12,M,57.14285714,NA,3.75,Y
5P2,M,2012,7,3D1,88V,3D1,S,13,M,53.57142857,NA,3.8333333333333335,Y
7M4,M,2011,8,2F3,67Z,2F3,S,14,M,50,NA,3.8333333333333335,Y
9O5,M,2012,7,95V,44T,95V,R,15,L,46.42857143,NA,3.8333333333333335,Y
6M8,M,2011,8,3B8,9A1,3B8,S,16,L,42.85714286,NA,3.75,Y
0J9,M,2009,10,30F,19T,30F,S,17,L,39.28571429,NA,3.9166666666666665,Y
2I1,M,2009,10,87K,25L,87K,F,18,L,35.71428571,NA,3.8333333333333335,Y
4G6,M,2008,11,42L,34P,42L,F,19,L,32.14285714,4076,3.8333333333333335,Y
2L6,M,2010,9,14I,96B,14I,F,20,L,28.57142857,NA,3.8333333333333335,Y
6I7,M,2009,10,50S,92S,50S,F,21,L,25,6107,3.9166666666666665,Y
7H0,M,2008,11,9A4,43P,9A4,F,22,L,21.42857143,7080,3.9166666666666665,Y
0H3,M,2008,11,11N,27N,11N,KK,23,L,17.85714286,83,3.3333333333333335,Y
0G1,M,2007,12,K00,91O,K00,F,24,L,14.28571429,71,3.9166666666666665,Y
0G9,M,2008,11,98J,60L,98J,V,25,L,10.71428571,79,3.8333333333333335,Y
3K1,M,2010,9,14L,36S,14L,F,26,L,7.142857143,3111,3.25,Y
11Z,M,2003,16,74H,Z71,74H,R,27,L,3.571428571,1126,3.9166666666666665,Y
3B9,M,2005,14,15O,50G,15O,R,28,L,0,3029,3.3333333333333335,Y
5E6,M,2007,12,78T,85B,78T,F,NA,NA,NA,5056,1.5833333333333333,N
8M5,M,2011,8,2B1,72T,2B1,S,NA,NA,NA,NA,0.6666666666666666,N
6K2,M,2010,9,34Z,91O,34Z,HH,NA,NA,NA,NA,0.08333333333333333,N
7M7,M,2011,8,2B4,03N,2B4,S,NA,NA,NA,NA,1.5833333333333333,N
3I6,M,2009,10,61A,23T,61A,F,NA,NA,NA,3096,1.6666666666666667,N
