groom_giver,groom_reciever,constrained_duration,observation_name
8E2,juvenile female,29,2016-09-03_8E2_JN_1
43N,94S,99,2016-08-17_43N_JN_1
3P7,1B7,14,2016-09-13_3P7_JN_1
5I9,2C7,135,2016-08-22_5I9_JN_1
0B9,juvenile,197,2016-09-13_0B9_JN_1
2C7,77S,22,2016-09-26_2C7_JN_1
8K7,65Z,72,2016-09-07_8K7_JN_1
2C7,juvenile male,41,2016-09-26_2C7_JN_1
2C0,77S,231,2016-09-20_2C0_JN_1
36O,juvenile male,126,2016-09-14_36O_JN_1
55R,juvenile male,44,2016-08-16_55R_JN_1
3N4,3A9,171,2016-08-31_3N4_JN_1
55R,juvenile male,140,2016-08-16_55R_JN_1
03Z,6B4,266,2016-08-31_03Z_JN_1
3N4,3A9,68,2016-08-31_3N4_JN_1
4N5,5J6,198,2016-09-08_4N5_JN_2
62S,5B6,5,2016-10-05_62S_JN_2
65Z,juvenile,168,2016-09-20_65Z_JN_2
65Z,juvenile male,25,2016-09-20_65Z_JN_2
5P6,5B6,218,2016-10-05_5P6_JN_2
4J0,48V,23,2016-08-08_4J0_JN_2
4C6,juvenile male,298,2016-09-01_4C6_JN_2
6B4,1B7,251,2016-09-08_6B4_JN_2
0G3,62S,79,2016-09-07_0G3_JN_2
62S,6H6,137,2016-10-07_62S_JN_2
0B9,juvenile male,48,2016-08-11_0B9_JN_2
0B9,5B6,132,2016-09-08_0B9_JN_2
4N8,juvenile male,194,2016-10-07_4N8_JN_2
1Q8,adult male,108,2016-10-10_1Q8_JN_2
9I5,4J3,74,2016-08-29_9I5_JN_2
2E9,juvenile male,54,2016-08-15_2E9_JN_2
5P6,juvenile female,16,2016-08-13_5P6_JN_2
77S,5B6,175,2016-08-13_77S_JN_2
3L6,juvenile,55,2016-08-30_3L6_JN_2
4I9,5J6,235,2016-08-11_4I9_JN_2
3L6,juvenile male,75,2016-08-15_3L6_JN_2
3L6,juvenile,72,2016-08-30_3L6_JN_2
3L6,juvenile male,98,2016-08-15_3L6_JN_2
3L6,20S,18,2016-09-28_3L6_JN_2
0B9,6H6,53,2016-09-28_0B9_JN_2
V80,56R,207,2016-09-08_V80_JN_2
2E9,4L8,81,2016-08-10_2E9_JN_2
4J3,juvenile,21,2016-09-07_4J3_JN_2
2C0,94O,64,2016-09-01_2C0_JN_2
0B9,6H6,26,2016-09-28_0B9_JN_2
55R,juvenile female,150,2016-10-10_55R_JN_2
9O0,30V,140,2016-10-12_9O0_JN_2
55R,juvenile female,14,2016-10-10_55R_JN_2
4N5,juvenile female,33,2016-08-23_4N5_JN_2
55R,juvenile female,80,2016-10-10_55R_JN_2
77S,5B6,124,2016-09-28_77S_JN_2
4L8,56R,107,2016-08-11_4L8_JN_3
9I7,juvenile,126,2016-09-09_9I7_JN_3
2C0,juvenile male,299,2016-08-23_2C0_JN_3
1Q8,0B9,112,2016-09-21_1Q8_JN_3
1B7,3A9,299,2016-08-30_1B7_JN_3
8E2,juvenile female,117,2016-09-26_8E2_JN_3
36O,5J6,34,2016-10-05_36O_JN_3
16S,1B7,300,2016-10-10_16S_JN_3
5I9,2C7,300,2016-09-07_5I9_JN_3
20S,juvenile male,26,2016-09-12_20S_JN_3
20S,juvenile,81,2016-09-12_20S_JN_3
20S,juvenile male,11,2016-09-12_20S_JN_3
4N7,juvenile female,119,2016-09-12_4N7_JN_3
4N8,2C0,25,2016-09-06_4N8_JN_3
3L6,77S,17,2016-09-21_3L6_JN_3
4N7,juvenile female,34,2016-09-12_4N7_JN_3
2E9,juvenile female,22,2016-08-08_2E9_JN_3
55R,juvenile female,166,2016-09-03_55R_JN_3
2C0,94O,26,2016-09-13_2C0_JN_3
5J6,juvenile female,230,2016-09-08_5J6_JN_3
77S,94O,45,2016-10-06_77S_JN_3
9I7,juvenile,34,2016-09-12_9I7_JN_3
16S,juvenile male,256,2016-09-08_16S_JN_3
4N8,juvenile,177,2016-09-08_4N8_JN_3
3L5,juvenile male,299,2016-10-10_3L5_JN_3
77S,juvenile female,221,2016-08-10_77S_JN_4
77S,juvenile female,17,2016-08-10_77S_JN_4
3L6,1B7,84,2016-08-17_3L6_JN_4
3P7,juvenile female,194,2016-09-14_3P7_JN_4
50P,9I7,152,2016-09-20_50P_JN_4
5J6,juvenile male,84,2016-09-02_5J6_JN_4
V80,49Z,132,2016-10-10_V80_JN_4
3P7,1B7,47,2016-09-14_3P7_JN_4
V80,6I4,148,2016-10-10_V80_JN_4
2C0,juvenile male,60,2016-08-29_2C0_JN_4
4N7,43N,137,2016-09-08_4N7_JN_4
5J6,juvenile,126,2016-10-05_5J6_JN_4
2C0,juvenile male,123,2016-08-29_2C0_JN_4
5J6,juvenile,42,2016-10-05_5J6_JN_4
48V,juvenile,41,2016-09-14_48V_JN_4
2E9,juvenile,44,2016-08-29_2E9_JN_4
4I9,juvenile,39,2016-09-06_4I9_JN_4
9P6,94S,29,2016-09-02_9P6_JN_4
4I9,juvenile,53,2016-09-06_4I9_JN_4
6H6,62S,2,2016-09-14_6H6_JN_4
2C7,juvenile,251,2016-09-06_2C7_JN_4
8L6,juvenile male,53,2016-09-20_8L6_JN_4
4J3,juvenile,48,2016-09-14_4J3_JN_4
4L8,5I9,86,2016-08-23_4L8_JN_4
0B9,juvenile,299,2016-09-14_0B9_JN_4
5P6,94O,82,2016-10-12_5P6_JN_4
20S,juvenile female,44,2016-08-11_20S_JN_5
4I9,juvenile male,93,2016-09-03_4I9_JN_5
4N7,5D1,59,2016-08-23_4N7_JN_5
3L6,77S,14,2016-09-08_3L6_JN_5
6H6,0B9,85,2016-08-23_6H6_JN_5
6B4,juvenile,87,2016-09-20_6B4_JN_5
2E8,juvenile male,85,2016-08-11_2E8_JN_5
4L8,41N,65,2016-09-21_4L8_JN_5
