groom_giver,groom_reciever,constrained_duration,observation_name
09Z,7F7,226,2019-02-06_09Z_JN_2
4P4,4H7,128,2019-02-06_4P4_JN_2
5A1,6C6,27,2019-02-06_5A1_JN_1
5A1,6C6,229,2019-02-06_5A1_JN_1
5H6,5P1,10,2019-02-06_5H6_JN_2
60V,juvenile male,40,2019-02-06_60V_JN_2
7F7,9O5,251,2019-02-06_7F7_JN_2
7M9,33V,227,2019-02-06_7M9_JN_2
7M9,juvenile female,49,2019-02-06_7M9_JN_2
97R,2D1,87,2019-02-06_97R_JN_2
9L6,juvenile female,44,2019-02-06_9L6_JN_2
3H6,2C6,299,2019-02-11_3H6_JN_2
53N,91V,239,2019-02-11_53N_JN_2
6C6,2G8,90,2019-02-11_6C6_JN_2
33V,74K,105,2019-02-12_33V_JN_2
67Z,77V,298,2019-02-12_67Z_JN_2
6M8,6O6,120,2019-02-12_6M8_JN_1
6M8,6O6,10,2019-02-12_6M8_JN_1
8M0,juvenile female,107,2019-02-12_8M0_JN_2
9O5,3O0,83,2019-02-12_9O5_JN_2
4M2,juvenile female,113,2019-02-13_4M2_JN_1
5E4,3D1,143,2019-02-13_5E4_JN_1
60V,juvenile female,61,2019-02-13_60V_JN_1
6C6,91V,32,2019-02-13_6C6_JN_1
0P2,7M9,255,2019-02-18_0P2_JN_1
0B4,juvenile female,78,2019-02-19_0B4_JN_2
77V,juvenile male,298,2019-02-19_77V_JN_2
7L1,juvenile female,71,2019-02-19_7L1_JN_2
0I7,7O1,198,2019-02-20_0I7_JN_1
2C6,60V,299,2019-02-20_2C6_JN_1
3B8,2I1,299,2019-02-20_3B8_JN_1
53N,97R,156,2019-02-20_53N_JN_1
6C6,91V,85,2019-02-20_6C6_JN_1
6O9,3I4,128,2019-02-20_6O9_JN_2
82Z,juvenile male,232,2019-02-20_82Z_JN_2
82Z,8H0,34,2019-02-20_82Z_JN_2
8M6,juvenile female,59,2019-02-20_8M6_JN_2
4H3,2I1,144,2019-02-22_4H3_JN_2
7A9,juvenile female,41,2019-02-22_7A9_JN_2
7L1,juvenile male,95,2019-02-22_7L1_JN_2
7L1,juvenile female,29,2019-02-22_7L1_JN_2
1K8,juvenile,84,2019-02-25_1K8_JN_2
33V,2B1,51,2019-02-25_33V_JN_2
33V,juvenile,96,2019-02-25_33V_JN_2
3O0,9O5,293,2019-02-25_3O0_JN_2
4P4,6O6,299,2019-02-25_4P4_JN_2
7H0,juvenile female,143,2019-02-25_7H0_JN_2
7H0,juvenile female,111,2019-02-25_7H0_JN_2
8M6,juvenile male,45,2019-02-25_8M6_JN_2
8M6,juvenile male,70,2019-02-25_8M6_JN_2
0I7,2I1,107,2019-02-26_0I7_JN_2
1B4,4P3,300,2019-02-26_1B4_JN_2
2B4,juvenile female,154,2019-02-26_2B4_JN_2
3O0,juvenile female,153,2019-02-26_3O0_JN_1
3O0,9O5,78,2019-02-26_3O0_JN_1
4G6,juvenile female,28,2019-02-26_4G6_JN_2
7I4,9I4,299,2019-02-26_7I4_JN_1
82V,5E4,137,2019-02-26_82V_JN_2
5A1,5P1,54,2019-02-27_5A1_JN_2
6O9,6O6,77,2019-02-27_6O9_JN_1
7A9,juvenile female,57,2019-02-27_7A9_JN_1
97R,juvenile female,42,2019-02-27_97R_JN_2
9L6,juvenile female,296,2019-02-27_9L6_JN_2
6O9,11Z,95,2019-02-28_6O9_JN_2
7M5,3D4,30,2019-02-28_7M5_JN_2
7M5,3D4,173,2019-02-28_7M5_JN_2
9I3,88N,119,2019-02-28_9I3_JN_2
0H3,juvenile female,64,2019-03-04_0H3_JN_2
3D4,juvenile male,138,2019-03-04_3D4_JN_2
3D4,juvenile male,22,2019-03-04_3D4_JN_2
5A1,2C6,76,2019-03-04_5A1_JN_2
91V,48L,127,2019-03-04_91V_JN_2
91V,48L,139,2019-03-04_91V_JN_2
2P0,juvenile male,106,2019-03-06_2P0_JN_2
4P4,2D1,109,2019-03-06_4P4_JN_2
2D1,4P4,60,2019-03-07_2D1_JN_2
2D1,juvenile female,129,2019-03-07_2D1_JN_2
5H6,9C7,197,2019-03-07_5H6_JN_2
6O9,0C9,273,2019-03-07_6O9_JN_1
7A9,juvenile female,134,2019-03-07_7A9_JN_1
7B3,7F7,299,2019-03-07_7B3_JN_1
7L1,juvenile male,104,2019-03-07_7L1_JN_2
8M6,juvenile female,209,2019-03-07_8M6_JN_2
38Z,juvenile male,28,2019-03-08_38Z_JN_2
38Z,juvenile male,23,2019-03-08_38Z_JN_2
5A1,juvenile female,117,2019-03-08_5A1_JN_1
7M9,6C6,188,2019-03-08_7M9_JN_2
82V,juvenile female,121,2019-03-08_82V_JN_2
0H3,6O9,298,2019-03-11_0H3_JN_2
2B1,5J5,275,2019-03-11_2B1_JN_1
2D1,8M0,22,2019-03-11_2D1_JN_2
4I3,1H9,190,2019-03-11_4I3_JN_1
6M9,juvenile female,113,2019-03-11_6M9_JN_2
7M9,09Z,119,2019-03-11_7M9_JN_2
8I6,juvenile male,174,2019-03-11_8I6_JN_2
8I6,juvenile male,38,2019-03-11_8I6_JN_2
0I7,2I1,161,2019-03-12_0I7_JN_2
0J9,0I7,79,2019-03-12_0J9_JN_2
1F0,2G8,293,2019-03-12_1F0_JN_2
2D1,juvenile female,20,2019-03-12_2D1_JN_1
1K8,juvenile male,280,2019-03-13_1K8_JN_2
38Z,juvenile male,259,2019-03-13_38Z_JN_2
82V,4G6,102,2019-03-13_82V_JN_2
2B1,9E6,220,2019-03-14_2B1_JN_2
3G2,8H0,19,2019-03-14_3G2_JN_2
4I3,juvenile male,51,2019-03-14_4I3_JN_2
4P9,juvenile male,40,2019-03-14_4P9_JN_1
6J4,5E4,145,2019-03-18_6J4_JN_1
7M5,juvenile female,28,2019-03-18_7M5_JN_2
8M6,juvenile female,58,2019-03-18_8M6_JN_1
7I4,juvenile male,283,2019-03-19_7I4_JN_2
8I6,juvenile male,203,2019-03-19_8I6_JN_2
0B4,juvenile female,66,2019-03-20_0B4_JN_1
0B4,juvenile female,46,2019-03-20_0B4_JN_1
2B1,juvenile male,26,2019-03-20_2B1_JN_2
2B1,juvenile male,82,2019-03-20_2B1_JN_2
2B1,juvenile male,111,2019-03-20_2B1_JN_2
2B4,juvenile female,277,2019-03-20_2B4_JN_1
6O9,juvenile male,93,2019-03-20_6O9_JN_1
7A9,juvenile female,261,2019-03-20_7A9_JN_1
7O1,3D1,299,2019-03-20_7O1_JN_2
1B4,4P3,218,2019-03-21_1B4_JN_2
3L9,juvenile male,47,2019-03-21_3L9_JN_2
4H3,4A9,131,2019-03-21_4H3_JN_1
6O9,juvenile male,148,2019-03-21_6O9_JN_2
6O9,juvenile male,90,2019-03-21_6O9_JN_2
74K,juvenile female,200,2019-03-21_74K_JN_2
7M4,5P2,299,2019-03-21_7M4_JN_1
8M0,juvenile male,298,2019-03-21_8M0_JN_1
77V,juvenile male,90,2019-03-22_77V_JN_1
77V,juvenile male,38,2019-03-22_77V_JN_1
48L,3B8,28,2019-03-25_48L_JN_2
4P9,juvenile male,162,2019-03-25_4P9_JN_1
82V,juvenile female,144,2019-03-25_82V_JN_1
8I6,67Z,203,2019-03-25_8I6_JN_2
2C6,91V,190,2019-03-26_2C6_JN_1
4A9,8M6,42,2019-03-26_4A9_JN_2
97R,juvenile female,62,2019-03-26_97R_JN_2
9L6,juvenile female,88,2019-03-26_9L6_JN_1
2G8,juvenile female,45,2019-03-27_2G8_JN_1
4P3,juvenile male,186,2019-03-27_4P3_JN_2
77V,juvenile male,144,2019-03-27_77V_JN_1
7F7,7B3,94,2019-03-27_7F7_JN_1
8M6,4A9,94,2019-03-27_8M6_JN_2
4I3,5E4,150,2019-03-28_4I3_JN_1
5A1,4E6,21,2019-03-28_5A1_JN_1
7I4,juvenile male,42,2019-03-28_7I4_JN_1
7I4,juvenile male,145,2019-03-28_7I4_JN_1
7L1,juvenile female,78,2019-03-28_7L1_JN_2
7M9,juvenile female,36,2019-03-28_7M9_JN_1
7M5,juvenile male,158,2019-04-01_7M5_JN_1
95V,juvenile male,299,2019-04-01_95V_JN_1
3L9,juvenile female,43,2019-04-02_3L9_JN_2
5E6,juvenile male,98,2019-04-02_5E6_JN_2
82V,juvenile female,73,2019-04-02_82V_JN_1
8M2,juvenile female,70,2019-04-02_8M2_JN_1
97R,juvenile male,35,2019-04-02_97R_JN_1
09Z,6C6,51,2019-04-03_09Z_JN_2
2I1,2B1,45,2019-04-03_2I1_JN_2
33V,juvenile male,186,2019-04-03_33V_JN_2
6O9,0H3,212,2019-04-03_6O9_JN_1
7A9,juvenile female,299,2019-04-03_7A9_JN_1
7L1,juvenile female,237,2019-04-03_7L1_JN_2
9O5,7B3,16,2019-04-03_9O5_JN_2
3L9,juvenile male,66,2019-04-04_3L9_JN_1
4P9,juvenile male,261,2019-04-04_4P9_JN_2
5H6,5P1,40,2019-04-04_5H6_JN_1
5H6,juvenile,214,2019-04-04_5H6_JN_1
7M4,5P2,102,2019-04-04_7M4_JN_2
7M4,3D1,35,2019-04-04_7M4_JN_2
4P4,juvenile male,47,2019-04-09_4P4_JN_1
5P1,juvenile male,69,2019-04-09_5P1_JN_2
5P1,6M9,116,2019-04-09_5P1_JN_2
6M8,0I7,242,2019-04-09_6M8_JN_2
82V,3K1,232,2019-04-09_82V_JN_1
88N,88N,142,2019-04-09_88N_JN_2
97R,juvenile female,146,2019-04-09_97R_JN_2
0I7,juvenile male,79,2019-04-10_0I7_JN_1
0P2,juvenile female,64,2019-04-10_0P2_JN_2
