agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
8J6,2J2,threat,Female,Female,2017-04-04,JG,focalfollow,agonism.winner
9E5,55V,threat,Male,Female,2017-04-04,JG,focalfollow,agonism.winner
53E,juvenile,threat,Female,Unknown,2017-04-03,JG,focalfollow,agonism.winner
34N,juvenile,threat,Female,Unknown,2017-04-04,JG,focalfollow,agonism.winner
7J6,juvenile,threat,Male,Unknown,2017-04-04,JG,focalfollow,agonism.winner
8E8,juvenile,threat,Female,Unknown,2017-04-04,JG,focalfollow,agonism.winner
2J6,juvenile,threat,Male,Unknown,2017-04-05,JG,focalfollow,agonism.winner
5G7,64P,submit,Male,Female,2017-04-03,JG,focalfollow,agonism.winner
04N,0K7,noncontactagg,Female,Female,2017-04-04,JG,focalfollow,agonism.winner
9H7,1L5,noncontactagg,Female,Female,2017-04-03,JG,focalfollow,agonism.winner
5G7,43J,noncontactagg,Male,Female,2017-04-03,JG,focalfollow,agonism.winner
9D8,98T,noncontactagg,Female,Female,2017-04-03,JG,focalfollow,agonism.winner
5G3,9A4,noncontactagg,Male,Female,2017-04-05,JG,focalfollow,agonism.winner
3E2,adult female,noncontactagg,Female,Unknown,2017-04-03,JG,focalfollow,agonism.winner
1J2,infant,noncontactagg,Male,Unknown,2017-04-04,JG,focalfollow,agonism.winner
53E,juvenile,noncontactagg,Female,Unknown,2017-04-03,JG,focalfollow,agonism.winner
1K5,juvenile,noncontactagg,Female,Unknown,2017-04-05,JG,focalfollow,agonism.winner
92D,juvenile,noncontactagg,Female,Unknown,2017-04-05,JG,focalfollow,agonism.winner
2I0,36Z,feargrm,Male,Female,2017-04-03,JG,focalfollow,agonism.winner
12Z,53E,feargrm,Male,Female,2017-04-03,JG,focalfollow,agonism.winner
42T,53E,feargrm,Male,Female,2017-04-04,JG,focalfollow,agonism.winner
2J6,82A,feargrm,Male,Female,2017-04-05,JG,focalfollow,agonism.winner
9H7,8J6,contactagg,Female,Female,2017-04-03,JG,focalfollow,agonism.winner
2A8,juvenile,contactagg,Female,Unknown,2017-04-03,JG,focalfollow,agonism.winner
2J6,juvenile,contactagg,Male,Unknown,2017-04-05,JG,focalfollow,agonism.winner
5J5,0I6,avoid,Male,Female,2017-04-04,JG,focalfollow,agonism.winner
2I0,1K5,avoid,Male,Female,2017-04-03,JG,focalfollow,agonism.winner
34N,6C5,avoid,Female,Female,2017-04-04,JG,focalfollow,agonism.winner
5J5,92D,avoid,Male,Female,2017-04-04,JG,focalfollow,agonism.winner
55V,infant,threat,Female,Unknown,2017-03-16,JG,overtime,agonism.winner
55V,juvenile,threat,Female,Unknown,2017-03-16,JG,overtime,agonism.winner
8E8,03J,threat,Female,Female,2017-03-15,JG,focalfollow,agonism.winner
0A9,0L1,threat,Female,Male,2017-03-09,JG,focalfollow,agonism.winner
59A,34N,threat,Female,Female,2017-03-02,JG,focalfollow,agonism.winner
9D1,8J8,threat,Male,Female,2017-03-22,JG,focalfollow,agonism.winner
5G3,9G3,threat,Male,Female,2017-03-22,JG,focalfollow,agonism.winner
9D1,adult female,threat,Male,Unknown,2017-03-31,JG,focalfollow,agonism.winner
5G7,adult male,threat,Male,Unknown,2017-03-14,JG,focalfollow,agonism.winner
2A2,infant,threat,Female,Unknown,2017-03-14,JG,focalfollow,agonism.winner
04N,infant,threat,Female,Unknown,2017-03-15,JG,focalfollow,agonism.winner
12Z,infant,threat,Male,Unknown,2017-03-17,JG,focalfollow,agonism.winner
12Z,infant,threat,Male,Unknown,2017-03-17,JG,focalfollow,agonism.winner
1H6,infant,threat,Female,Unknown,2017-03-17,JG,focalfollow,agonism.winner
7B7,infant,threat,Female,Unknown,2017-03-17,JG,focalfollow,agonism.winner
2L8,infant,threat,Female,Unknown,2017-03-20,JG,focalfollow,agonism.winner
0A9,infant,threat,Female,Unknown,2017-03-21,JG,focalfollow,agonism.winner
2A5,infant,threat,Female,Unknown,2017-03-28,JG,focalfollow,agonism.winner
2A5,infant,threat,Female,Unknown,2017-03-28,JG,focalfollow,agonism.winner
2A5,infant,threat,Female,Unknown,2017-03-28,JG,focalfollow,agonism.winner
2A5,infant,threat,Female,Unknown,2017-03-28,JG,focalfollow,agonism.winner
5J5,infant,threat,Male,Unknown,2017-03-30,JG,focalfollow,agonism.winner
53E,juvenile,threat,Female,Unknown,2017-03-01,JG,focalfollow,agonism.winner
6C0,juvenile,threat,Female,Unknown,2017-03-01,JG,focalfollow,agonism.winner
8J6,juvenile,threat,Female,Unknown,2017-03-01,JG,focalfollow,agonism.winner
4C2,juvenile,threat,Female,Unknown,2017-03-02,JG,focalfollow,agonism.winner
59A,juvenile,threat,Female,Unknown,2017-03-02,JG,focalfollow,agonism.winner
59A,juvenile,threat,Female,Unknown,2017-03-02,JG,focalfollow,agonism.winner
82A,juvenile,threat,Female,Unknown,2017-03-06,JG,focalfollow,agonism.winner
3E2,juvenile,threat,Female,Unknown,2017-03-09,JG,focalfollow,agonism.winner
12Z,juvenile,threat,Male,Unknown,2017-03-14,JG,focalfollow,agonism.winner
5G7,juvenile,threat,Male,Unknown,2017-03-14,JG,focalfollow,agonism.winner
34N,juvenile,threat,Female,Unknown,2017-03-15,JG,focalfollow,agonism.winner
4C2,juvenile,threat,Female,Unknown,2017-03-15,JG,focalfollow,agonism.winner
63V,juvenile,threat,Female,Unknown,2017-03-15,JG,focalfollow,agonism.winner
64P,juvenile,threat,Female,Unknown,2017-03-15,JG,focalfollow,agonism.winner
55V,juvenile,threat,Female,Unknown,2017-03-16,JG,focalfollow,agonism.winner
55V,juvenile,threat,Female,Unknown,2017-03-16,JG,focalfollow,agonism.winner
5K7,juvenile,threat,Female,Unknown,2017-03-17,JG,focalfollow,agonism.winner
53E,juvenile,threat,Female,Unknown,2017-03-20,JG,focalfollow,agonism.winner
53E,juvenile,threat,Female,Unknown,2017-03-20,JG,focalfollow,agonism.winner
59A,juvenile,threat,Female,Unknown,2017-03-20,JG,focalfollow,agonism.winner
9D1,juvenile,threat,Male,Unknown,2017-03-20,JG,focalfollow,agonism.winner
50I,juvenile,threat,Female,Unknown,2017-03-21,JG,focalfollow,agonism.winner
5J5,juvenile,threat,Male,Unknown,2017-03-21,JG,focalfollow,agonism.winner
9H2,juvenile,threat,Male,Unknown,2017-03-21,JG,focalfollow,agonism.winner
9H2,juvenile,threat,Male,Unknown,2017-03-21,JG,focalfollow,agonism.winner
04N,juvenile,threat,Female,Unknown,2017-03-23,JG,focalfollow,agonism.winner
2L8,juvenile,threat,Female,Unknown,2017-03-24,JG,focalfollow,agonism.winner
2A5,juvenile,threat,Female,Unknown,2017-03-28,JG,focalfollow,agonism.winner
0I5,juvenile,threat,Female,Unknown,2017-03-30,JG,focalfollow,agonism.winner
0L1,juvenile,threat,Male,Unknown,2017-03-30,JG,focalfollow,agonism.winner
1A3,juvenile,threat,Female,Unknown,2017-03-30,JG,focalfollow,agonism.winner
1A3,juvenile,threat,Female,Unknown,2017-03-30,JG,focalfollow,agonism.winner
1J2,unknown,threat,Male,Unknown,2017-03-06,JG,focalfollow,agonism.winner
1J2,unknown,threat,Male,Unknown,2017-03-06,JG,focalfollow,agonism.winner
3E2,unknown,threat,Female,Unknown,2017-03-20,JG,focalfollow,agonism.winner
5G3,unknown,threat,Male,Unknown,2017-03-22,JG,focalfollow,agonism.winner
82A,0A9,submit,Female,Female,2017-03-06,JG,focalfollow,agonism.winner
42T,4C1,submit,Male,Female,2017-03-14,JG,focalfollow,agonism.winner
6C0,52P,submit,Female,Female,2017-03-01,JG,focalfollow,agonism.winner
2J6,8C0,submit,Male,Male,2017-03-14,JG,focalfollow,agonism.winner
64P,2H3,noncontactagg,Female,Female,2017-03-15,JG,focalfollow,agonism.winner
59A,55V,noncontactagg,Female,Female,2017-03-14,JG,focalfollow,agonism.winner
0I5,55V,noncontactagg,Female,Female,2017-03-22,JG,focalfollow,agonism.winner
9H2,64P,noncontactagg,Male,Female,2017-03-06,JG,focalfollow,agonism.winner
0A9,6C0,noncontactagg,Female,Female,2017-03-27,JG,focalfollow,agonism.winner
2H3,7B7,noncontactagg,Female,Female,2017-03-30,JG,focalfollow,agonism.winner
9I0,84J,noncontactagg,Male,Male,2017-03-01,JG,focalfollow,agonism.winner
59A,8B0,noncontactagg,Female,Female,2017-03-14,JG,focalfollow,agonism.winner
42T,8E8,noncontactagg,Male,Female,2017-03-14,JG,focalfollow,agonism.winner
5G7,9D8,noncontactagg,Male,Female,2017-03-22,JG,focalfollow,agonism.winner
36Z,adult female,noncontactagg,Female,Unknown,2017-03-02,JG,focalfollow,agonism.winner
4C2,adult female,noncontactagg,Female,Unknown,2017-03-13,JG,focalfollow,agonism.winner
5G7,adult female,noncontactagg,Male,Unknown,2017-03-20,JG,focalfollow,agonism.winner
2I0,adult male,noncontactagg,Male,Unknown,2017-03-01,JG,focalfollow,agonism.winner
9H2,adult male,noncontactagg,Male,Unknown,2017-03-06,JG,focalfollow,agonism.winner
2I2,adult male,noncontactagg,Male,Unknown,2017-03-21,JG,focalfollow,agonism.winner
5G7,infant,noncontactagg,Male,Unknown,2017-03-14,JG,focalfollow,agonism.winner
9H2,juvenile,noncontactagg,Male,Unknown,2017-03-01,JG,focalfollow,agonism.winner
9I0,juvenile,noncontactagg,Male,Unknown,2017-03-01,JG,focalfollow,agonism.winner
36Z,juvenile,noncontactagg,Female,Unknown,2017-03-02,JG,focalfollow,agonism.winner
04N,juvenile,noncontactagg,Female,Unknown,2017-03-13,JG,focalfollow,agonism.winner
5K7,juvenile,noncontactagg,Female,Unknown,2017-03-13,JG,focalfollow,agonism.winner
2A2,juvenile,noncontactagg,Female,Unknown,2017-03-14,JG,focalfollow,agonism.winner
2A2,juvenile,noncontactagg,Female,Unknown,2017-03-14,JG,focalfollow,agonism.winner
2A2,juvenile,noncontactagg,Female,Unknown,2017-03-14,JG,focalfollow,agonism.winner
42T,juvenile,noncontactagg,Male,Unknown,2017-03-14,JG,focalfollow,agonism.winner
5J5,juvenile,noncontactagg,Male,Unknown,2017-03-15,JG,focalfollow,agonism.winner
0L1,juvenile,noncontactagg,Male,Unknown,2017-03-17,JG,focalfollow,agonism.winner
8H0,juvenile,noncontactagg,Male,Unknown,2017-03-20,JG,focalfollow,agonism.winner
9E5,juvenile,noncontactagg,Male,Unknown,2017-03-21,JG,focalfollow,agonism.winner
42T,juvenile,noncontactagg,Male,Unknown,2017-03-22,JG,focalfollow,agonism.winner
0I5,juvenile,noncontactagg,Female,Unknown,2017-03-30,JG,focalfollow,agonism.winner
0L1,juvenile,noncontactagg,Male,Unknown,2017-03-30,JG,focalfollow,agonism.winner
2J2,juvenile,noncontactagg,Female,Unknown,2017-03-30,JG,focalfollow,agonism.winner
5J5,juvenile,noncontactagg,Male,Unknown,2017-03-30,JG,focalfollow,agonism.winner
9D1,12Z,feargrm,Male,Male,2017-03-20,JG,focalfollow,agonism.winner
42T,3E4,feargrm,Male,Male,2017-03-14,JG,focalfollow,agonism.winner
42T,4C1,feargrm,Male,Female,2017-03-22,JG,focalfollow,agonism.winner
9H2,50I,feargrm,Male,Female,2017-03-01,JG,focalfollow,agonism.winner
1J2,5D9,feargrm,Male,Female,2017-03-16,JG,focalfollow,agonism.winner
9H7,68V,feargrm,Female,Female,2017-03-28,JG,focalfollow,agonism.winner
34N,7B7,feargrm,Female,Female,2017-03-31,JG,focalfollow,agonism.winner
9D1,84J,feargrm,Male,Male,2017-03-16,JG,focalfollow,agonism.winner
1J2,93Z,feargrm,Male,Female,2017-03-16,JG,focalfollow,agonism.winner
1J2,adult male,feargrm,Male,Unknown,2017-03-16,JG,focalfollow,agonism.winner
9I0,04Z,displace,Male,Male,2017-03-20,JG,focalfollow,agonism.winner
7G2,1J7,displace,Male,Female,2017-03-13,JG,focalfollow,agonism.winner
0I5,1J7,displace,Female,Female,2017-03-30,JG,focalfollow,agonism.winner
