agonism_winner,agonism_loser,agonism_type,winner_sex,loser_sex,date,observer,data_source,focal_individual
3L5,juvenile male,FearGrm,Male,Unknown,2016-09-12,JN,focalfollow,agonism.winner
48V,2E9,avoid,Female,Female,2016-09-08,JN,focalfollow,agonism.winner
4N8,4J3,avoid,Male,Female,2016-08-30,JN,focalfollow,agonism.winner
3P7,juvenile,threat,Female,Unknown,2016-09-03,JN,focalfollow,agonism.winner
3P7,22H,noncontactAgg,Female,Female,2016-09-03,JN,focalfollow,agonism.winner
5H7,juvenile male,noncontactAgg,Male,Unknown,2016-09-07,JN,focalfollow,agonism.winner
43N,1B7,displace,Male,Male,2016-08-13,JN,focalfollow,agonism.winner
1B7,juvenile,noncontactAgg,Male,Unknown,2016-09-27,JN,focalfollow,agonism.winner
2E8,3A6,displace,Female,Male,2016-08-10,JN,focalfollow,agonism.winner
2E8,16S,avoid,Female,Female,2016-08-10,JN,focalfollow,agonism.winner
2E8,infant,contactAgg,Female,Unknown,2016-08-10,JN,focalfollow,agonism.winner
8L6,0K1,avoid,Male,Male,2016-09-08,JN,focalfollow,agonism.winner
8L6,0K1,noncontactAgg,Male,Male,2016-09-08,JN,focalfollow,agonism.winner
8L6,juvenile male,noncontactAgg,Male,Unknown,2016-08-31,JN,focalfollow,agonism.winner
0G3,juvenile female,avoid,Female,Unknown,2016-08-13,JN,focalfollow,agonism.winner
50P,1G8,noncontactAgg,Male,Male,2016-08-18,JN,focalfollow,agonism.winner
9N0,juvenile female,displace,Female,Unknown,2016-09-28,JN,focalfollow,agonism.winner
41N,31V,displace,Male,Female,2016-08-23,JN,focalfollow,agonism.winner
5B6,juvenile female,contactAgg,Female,Unknown,2016-09-20,JN,focalfollow,agonism.winner
80S,infant,threat,Female,Unknown,2016-08-16,JN,overtime,agonism.winner
9I5,juvenile male,noncontactAgg,Female,Unknown,2016-08-10,JN,focalfollow,agonism.winner
5B6,infant,noncontactAgg,Female,Unknown,2016-09-20,JN,focalfollow,agonism.winner
0K1,96Z,threat,Male,Male,2016-09-19,JN,focalfollow,agonism.winner
3A6,0G3,noncontactAgg,Male,Female,2016-09-21,JN,focalfollow,agonism.winner
60T,juvenile,noncontactAgg,Male,Unknown,2016-09-08,JN,focalfollow,agonism.winner
3A9,juvenile male,noncontactAgg,Female,Unknown,2016-10-07,JN,focalfollow,agonism.winner
9C6,2C7,avoid,Male,Female,2016-10-05,JN,focalfollow,agonism.winner
5N1,4J3,displace,Female,Female,2016-08-13,JN,focalfollow,agonism.winner
8L6,infant,noncontactAgg,Male,Unknown,2016-08-08,JN,focalfollow,agonism.winner
3P7,juvenile male,noncontactAgg,Female,Unknown,2016-08-23,JN,focalfollow,agonism.winner
5H7,juvenile male,noncontactAgg,Male,Unknown,2016-10-10,JN,focalfollow,agonism.winner
0G3,4J6,noncontactAgg,Female,Female,2016-09-27,JN,focalfollow,agonism.winner
1G8,juvenile male,threat,Male,Unknown,2016-08-23,JN,focalfollow,agonism.winner
80S,9I5,displace,Female,Female,2016-10-10,JN,focalfollow,agonism.winner
0M2,infant,contactAgg,Female,Unknown,2016-09-21,JN,focalfollow,agonism.winner
0M2,juvenile male,FearGrm,Female,Unknown,2016-09-21,JN,focalfollow,agonism.winner
0G3,juvenile,noncontactAgg,Female,Unknown,2016-09-13,JN,focalfollow,agonism.winner
7L7,80S,threat,Female,Female,2016-10-05,JN,focalfollow,agonism.winner
9I7,3L6,noncontactAgg,Female,Male,2016-09-21,JN,focalfollow,agonism.winner
7L7,80S,avoid,Female,Female,2016-10-05,JN,focalfollow,agonism.winner
7L7,infant,threat,Female,Unknown,2016-10-05,JN,focalfollow,agonism.winner
94S,juvenile female,contactAgg,Female,Unknown,2016-08-10,JN,focalfollow,agonism.winner
3L6,0B9,avoid,Male,Female,2016-09-07,JN,focalfollow,agonism.winner
62S,infant,noncontactAgg,Female,Unknown,2016-08-17,JN,focalfollow,agonism.winner
5B6,juvenile female,threat,Female,Unknown,2016-08-13,JN,focalfollow,agonism.winner
62S,juvenile male,noncontactAgg,Female,Unknown,2016-08-17,JN,focalfollow,agonism.winner
36O,juvenile female,noncontactAgg,Female,Unknown,2016-09-20,JN,focalfollow,agonism.winner
0M2,infant,noncontactAgg,Female,Unknown,2016-09-06,JN,focalfollow,agonism.winner
22H,juvenile female,avoid,Female,Unknown,2016-08-10,JN,focalfollow,agonism.winner
5P6,6H6,displace,Female,Female,2016-09-15,JN,focalfollow,agonism.winner
4J0,juvenile male,displace,Male,Unknown,2016-08-15,JN,focalfollow,agonism.winner
9I5,juvenile,threat,Female,Unknown,2016-09-01,JN,focalfollow,agonism.winner
6I4,80S,noncontactAgg,Male,Female,2016-09-19,JN,focalfollow,agonism.winner
3P7,22H,noncontactAgg,Female,Female,2016-10-06,JN,focalfollow,agonism.winner
48V,juvenile,threat,Female,Unknown,2016-09-01,JN,focalfollow,agonism.winner
4L8,juvenile female,noncontactAgg,Female,Unknown,2016-09-20,JN,focalfollow,agonism.winner
94O,1B7,FearGrm,Male,Male,2016-08-30,JN,focalfollow,agonism.winner
16S,infant,contactAgg,Female,Unknown,2016-08-08,JN,focalfollow,agonism.winner
4N5,infant,contactAgg,Female,Unknown,2016-10-06,JN,focalfollow,agonism.winner
94S,03Z,displace,Female,Female,2016-08-15,JN,focalfollow,agonism.winner
9O0,2C7,displace,Male,Female,2016-10-05,JN,focalfollow,agonism.winner
43N,juvenile male,contactAgg,Male,Unknown,2016-08-29,JN,focalfollow,agonism.winner
0G3,infant,noncontactAgg,Female,Unknown,2016-08-16,JN,focalfollow,agonism.winner
43N,0B9,noncontactAgg,Male,Female,2016-08-29,JN,focalfollow,agonism.winner
43N,juvenile female,displace,Male,Unknown,2016-09-19,JN,focalfollow,agonism.winner
4N7,infant,noncontactAgg,Male,Unknown,2016-08-15,JN,focalfollow,agonism.winner
3L6,juvenile,contactAgg,Male,Unknown,2016-09-13,JN,focalfollow,agonism.winner
7L0,infant,noncontactAgg,Female,Unknown,2016-09-03,JN,focalfollow,agonism.winner
4N7,juvenile,noncontactAgg,Male,Unknown,2016-08-15,JN,focalfollow,agonism.winner
9I5,infant,contactAgg,Female,Unknown,2016-09-14,JN,focalfollow,agonism.winner
65Z,9I7,avoid,Female,Female,2016-09-03,JN,focalfollow,agonism.winner
4N7,4J0,avoid,Male,Male,2016-08-29,JN,focalfollow,agonism.winner
5J6,infant,noncontactAgg,Female,Unknown,2016-09-06,JN,focalfollow,agonism.winner
6B4,juvenile female,threat,Female,Unknown,2016-08-08,JN,focalfollow,agonism.winner
5N1,infant,noncontactAgg,Female,Unknown,2016-10-10,JN,focalfollow,agonism.winner
1G8,juvenile female,displace,Male,Unknown,2016-09-03,JN,focalfollow,agonism.winner
20S,juvenile male,noncontactAgg,Female,Unknown,2016-09-26,JN,focalfollow,agonism.winner
7E3,5I9,FearGrm,Female,Female,2016-09-15,JN,focalfollow,agonism.winner
1B7,juvenile female,threat,Male,Unknown,2016-08-31,JN,focalfollow,agonism.winner
1B7,3A9,noncontactAgg,Male,Female,2016-08-31,JN,focalfollow,agonism.winner
2E9,infant,contactAgg,Female,Unknown,2016-09-12,JN,focalfollow,agonism.winner
48V,36O,displace,Female,Female,2016-09-13,JN,focalfollow,agonism.winner
03Z,infant,threat,Female,Unknown,2016-09-08,JN,focalfollow,agonism.winner
9N0,62S,noncontactAgg,Female,Female,2016-08-08,JN,focalfollow,agonism.winner
6H6,2E8,displace,Female,Female,2016-08-17,JN,focalfollow,agonism.winner
5H7,6B4,displace,Male,Female,2016-08-08,JN,focalfollow,agonism.winner
5H7,6B4,threat,Male,Female,2016-08-08,JN,focalfollow,agonism.winner
