groom_giver,groom_reciever,constrained_duration,observation_name
19A,6C2,98,2013-10-31_19A_CM_5
51V,25P,75,2013-10-31_51V_CM_1
6C2,76J,224,2013-10-31_6C2_CM_5
6D4,76J,63,2013-10-31_6D4_CM_4
6D9,6C2,221,2013-10-31_6D9_CM_3
2C3,adult male,92,2013-11-01_2C3_CM_6
2C3,adult male,213,2013-11-01_2C3_CM_6
2C4,adult male,93,2013-11-01_2C4_CM_2
37V,adult male,80,2013-11-01_37V_CM_5
37V,adult male,275,2013-11-01_37V_CM_5
51V,25P,201,2013-11-01_51V_CM_4
2C4,6C2,29,2013-11-04_2C4_CM_5
2C4,adult male,171,2013-11-04_2C4_CM_5
44V,49V,159,2013-11-04_44V_CM_4
6D9,adult male,216,2013-11-04_6D9_CM_4
1C5,adult male,201,2013-11-05_1C5_CM_5
37V,adult male,59,2013-11-05_37V_CM_6
37V,adult male,160,2013-11-05_37V_CM_6
53E,adult male,273,2013-11-05_53E_CM_4
6C2,adult male,113,2013-11-05_6C2_CM_4
6C2,adult male,191,2013-11-05_6C2_CM_4
24V,53E,97,2013-11-08_24V_CM_5
44V,4D8,12,2013-11-08_44V_CM_4
6D4,24V,106,2013-11-08_6D4_CM_1
21H,adult male,273,2013-11-11_21H_CM_4
2C3,0B6,46,2013-11-11_2C3_CM_4
2C4,adult male,258,2013-11-11_2C4_CM_4
2C4,6C2,155,2013-11-11_2C4_CM_4
4D8,76J,49,2013-11-11_4D8_CM_2
62R,adult male,186,2013-11-11_62R_CM_5
6D9,adult male,595,2013-11-11_6D9_CM_3
6D6,53E,23,2013-11-12_6D6_CM_4
1C5,adult male,123,2013-11-13_1C5_CM_5
55J,49V,74,2013-11-13_55J_CM_4
6D6,60R,21,2013-11-13_6D6_CM_2
3A2,60R,314,2013-11-14_3A2_CM_6
24V,53E,30,2013-11-15_24V_CM_2
24V,53E,77,2013-11-15_24V_CM_2
4D8,adult male,181,2013-11-15_4D8_CM_6
6D9,adult male,289,2013-11-15_6D9_CM_5
62R,1E2,68,2013-11-19_62R_CM_4
62R,adult male,161,2013-11-19_62R_CM_4
24V,76J,29,2013-11-20_24V_CM_5
24V,49V,145,2013-11-20_24V_CM_5
24V,49V,42,2013-11-20_24V_CM_5
2C4,53E,190,2013-11-20_2C4_CM_5
2C4,6C2,13,2013-11-20_2C4_CM_5
51V,0B6,118,2013-11-20_51V_CM_4
19A,37V,35,2013-11-21_19A_CM_3
19A,37V,44,2013-11-21_19A_CM_3
24V,53E,70,2013-11-21_24V_CM_3
24V,83Z,53,2013-11-21_24V_CM_3
51V,19A,84,2013-11-21_51V_CM_3
51V,93O,50,2013-11-21_51V_CM_3
62R,2C3,91,2013-11-21_62R_CM_3
6D9,51V,8,2013-11-21_6D9_CM_5
3A2,adult male,152,2013-06-13_3A2_KB_2
6D4,6D6,81,2013-06-13_6D4_KB_6
76J,4D8,164,2013-06-13_76J_KB_3
37V,0B6,158,2013-06-14_37V_KB_6
19A,adult male,76,2013-06-17_19A_KB_3
37V,19A,124,2013-06-17_37V_KB_4
86Z,83Z,27,2013-06-25_86Z_KB_4
24V,adult male,539,2013-06-26_24V_KB_4
1E2,21H,3,2013-06-27_1E2_KB_4
21H,adult male,438,2013-06-27_21H_KB_3
83Z,adult male,441,2013-06-27_83Z_KB_4
2C3,adult male,133,2013-06-28_2C3_KB_5
3A2,adult male,478,2013-06-28_3A2_KB_6
76J,adult male,160,2013-06-28_76J_KB_1
6D4,93O,52,2013-07-01_6D4_KB_3
93O,adult male,598,2013-07-03_93O_KB_6
37V,2C4,599,2013-07-05_37V_KB_4
1C7,49V,142,2013-07-08_1C7_KB_6
6D4,9C5,9,2013-07-08_6D4_KB_3
6D6,53E,479,2013-07-08_6D6_KB_2
51V,25P,161,2013-07-11_51V_KB_3
62R,24V,132,2013-07-15_62R_KB_2
6D9,2C4,422,2013-07-15_6D9_KB_5
60R,adult male,45,2013-07-16_60R_KB_3
